statistic,family,sweep_param,n,rho,rho_ci_lo,rho_ci_hi,rho_ci_width,delta_vs_mean,delta_ci_lo,delta_ci_hi,differs_from_mean,pearson_r,rho_ungated,rho_ungated_delta,max_abs_rho_perm_p
mean,whole-slide,,270,-0.272746,-0.384943,-0.155719,0.229224,0.0,0.0,0.0,False,-0.287668,-0.277118,-0.004372,0.0005
median,whole-slide,,270,-0.273086,-0.38559,-0.156864,0.228727,0.00034,-0.011324,0.012162,False,-0.287262,-0.274632,-0.001546,0.0005
range,whole-slide,,270,-0.053666,-0.168629,0.068806,0.237435,-0.219081,-0.319036,-0.080875,True,-0.083091,-0.062522,-0.008856,0.0005
stdev,whole-slide,,270,-0.052633,-0.17215,0.066761,0.238911,-0.220113,-0.319944,-0.075172,True,-0.062539,-0.057764,-0.005131,0.0005
mad,whole-slide,,270,-0.050779,-0.171735,0.071036,0.242772,-0.221967,-0.325394,-0.068392,True,-0.055341,-0.021029,0.02975,0.0005
iqr,whole-slide,,270,-0.033866,-0.160492,0.089712,0.250203,-0.23888,-0.332891,-0.074269,True,-0.038964,-0.01161,0.022256,0.0005
p5,percentile,5,270,-0.250458,-0.363451,-0.13158,0.231871,-0.022288,-0.0815,0.035997,False,-0.276218,-0.289668,-0.03921,0.0005
p10,percentile,10,270,-0.256423,-0.368193,-0.139979,0.228213,-0.016323,-0.068441,0.03039,False,-0.276668,-0.294534,-0.038111,0.0005
p15,percentile,15,270,-0.261779,-0.372921,-0.146282,0.22664,-0.010968,-0.056859,0.029184,False,-0.279075,-0.293563,-0.031784,0.0005
p20,percentile,20,270,-0.267727,-0.376327,-0.151975,0.224352,-0.00502,-0.039218,0.026714,False,-0.281884,-0.293309,-0.025583,0.0005
p25,percentile,25,270,-0.272057,-0.380392,-0.15061,0.229783,-0.000689,-0.027389,0.02425,False,-0.285094,-0.290064,-0.018007,0.0005
p30,percentile,30,270,-0.272578,-0.381944,-0.153494,0.22845,-0.000168,-0.024584,0.022001,False,-0.284972,-0.288784,-0.016206,0.0005
p35,percentile,35,270,-0.269183,-0.380126,-0.151626,0.2285,-0.003563,-0.025931,0.015908,False,-0.283591,-0.286196,-0.017012,0.0005
p40,percentile,40,270,-0.265709,-0.377058,-0.143832,0.233226,-0.007038,-0.027884,0.010354,False,-0.279907,-0.279836,-0.014127,0.0005
p45,percentile,45,270,-0.270806,-0.382571,-0.153328,0.229242,-0.00194,-0.013796,0.010347,False,-0.285161,-0.275055,-0.004249,0.0005
p50,percentile,50,270,-0.273086,-0.38559,-0.156864,0.228727,0.00034,-0.011324,0.012162,False,-0.287262,-0.274632,-0.001546,0.0005
p55,percentile,55,270,-0.272143,-0.384375,-0.155766,0.228609,-0.000604,-0.011639,0.011323,False,-0.284317,-0.272338,-0.000196,0.0005
p60,percentile,60,270,-0.273271,-0.384787,-0.155972,0.228814,0.000525,-0.011635,0.013426,False,-0.284575,-0.272313,0.000958,0.0005
p65,percentile,65,270,-0.271693,-0.384865,-0.156175,0.22869,-0.001053,-0.014882,0.01349,False,-0.283311,-0.270145,0.001549,0.0005
p70,percentile,70,270,-0.268895,-0.381857,-0.151796,0.230062,-0.003852,-0.019931,0.013056,False,-0.2823,-0.265673,0.003221,0.0005
p75,percentile,75,270,-0.264122,-0.378188,-0.147664,0.230524,-0.008624,-0.026714,0.010347,False,-0.27892,-0.260917,0.003206,0.0005
p80,percentile,80,270,-0.260911,-0.375472,-0.144361,0.231111,-0.011835,-0.032845,0.010009,False,-0.275638,-0.258007,0.002904,0.0005
p85,percentile,85,270,-0.25606,-0.368128,-0.13852,0.229609,-0.016686,-0.041506,0.007801,False,-0.270711,-0.253629,0.002431,0.0005
p90,percentile,90,270,-0.256406,-0.370688,-0.140823,0.229865,-0.016341,-0.047687,0.013005,False,-0.269317,-0.254295,0.00211,0.0005
p95,percentile,95,270,-0.25679,-0.369813,-0.141349,0.228463,-0.015956,-0.058214,0.024487,False,-0.270353,-0.254837,0.001953,0.0005
p100,percentile,100,270,-0.215698,-0.33023,-0.095026,0.235204,-0.057048,-0.129554,0.016551,False,-0.231502,-0.215698,0.0,0.0005
frac_density_ge_monolayer,fraction,,270,-0.283402,-0.393122,-0.169062,0.22406,0.010656,-0.020817,0.039347,False,-0.291332,-0.283402,0.0,0.0005
frac_density_ge_slightly_dense,fraction,,270,-0.247549,-0.358446,-0.126522,0.231924,-0.025197,-0.084646,0.033852,False,-0.243751,-0.247549,0.0,0.0005
frac_density_ge_dense,fraction,,270,-0.226683,-0.331829,-0.109549,0.22228,-0.046064,-0.137977,0.043294,False,-0.189061,-0.226683,0.0,0.0005
frac_density_ge_very_dense,fraction,,270,-0.172564,-0.270627,-0.066592,0.204035,-0.100182,-0.214967,0.021204,False,-0.127211,-0.172564,0.0,0.0005
frac_rouleaux_ge_slight_rouleaux,fraction,,270,-0.22379,-0.337939,-0.108314,0.229625,-0.048957,-0.108,0.008658,False,-0.249158,-0.22379,0.0,0.0005
frac_rouleaux_ge_some_rouleaux,fraction,,270,-0.219928,-0.329791,-0.102213,0.227579,-0.052819,-0.130095,0.02232,False,-0.227854,-0.219928,0.0,0.0005
frac_rouleaux_ge_rouleaux,fraction,,270,-0.230928,-0.342501,-0.117791,0.22471,-0.041819,-0.140752,0.053798,False,-0.180631,-0.230928,0.0,0.0005
frac_rouleaux_ge_heavy_rouleaux,fraction,,270,-0.18902,-0.288423,-0.082118,0.206305,-0.083726,-0.197354,0.032208,False,-0.13058,-0.18902,0.0,0.0005
top95_mean,trimmed-mean,95,270,-0.271223,-0.384905,-0.154632,0.230272,-0.001523,-0.004661,0.001354,False,-0.286679,-0.275392,-0.004168,0.0005
top90_mean,trimmed-mean,90,270,-0.269772,-0.383314,-0.152683,0.23063,-0.002975,-0.007683,0.001397,False,-0.286137,-0.274234,-0.004462,0.0005
top85_mean,trimmed-mean,85,270,-0.269026,-0.383828,-0.151817,0.232011,-0.00372,-0.010141,0.002355,False,-0.285564,-0.272922,-0.003896,0.0005
top80_mean,trimmed-mean,80,270,-0.268097,-0.381949,-0.150777,0.231172,-0.004649,-0.012479,0.002809,False,-0.28492,-0.272603,-0.004506,0.0005
top75_mean,trimmed-mean,75,270,-0.268274,-0.381308,-0.151835,0.229474,-0.004472,-0.014055,0.005087,False,-0.284219,-0.271419,-0.003145,0.0005
top70_mean,trimmed-mean,70,270,-0.267613,-0.380698,-0.150272,0.230425,-0.005133,-0.016873,0.007088,False,-0.283455,-0.26848,-0.000867,0.0005
top65_mean,trimmed-mean,65,270,-0.267487,-0.380877,-0.15021,0.230667,-0.005259,-0.019106,0.008449,False,-0.282664,-0.267833,-0.000346,0.0005
top60_mean,trimmed-mean,60,270,-0.267342,-0.38164,-0.150056,0.231585,-0.005404,-0.021096,0.010426,False,-0.282018,-0.266131,0.001211,0.0005
top55_mean,trimmed-mean,55,270,-0.266166,-0.38004,-0.149063,0.230977,-0.006581,-0.023358,0.011059,False,-0.281309,-0.263817,0.002348,0.0005
top50_mean,trimmed-mean,50,270,-0.265853,-0.379691,-0.147946,0.231745,-0.006893,-0.025651,0.011588,False,-0.280174,-0.26263,0.003223,0.0005
top45_mean,trimmed-mean,45,270,-0.264284,-0.3772,-0.147495,0.229704,-0.008463,-0.028719,0.011732,False,-0.279,-0.26201,0.002273,0.0005
top40_mean,trimmed-mean,40,270,-0.261881,-0.374664,-0.145271,0.229392,-0.010865,-0.033699,0.011964,False,-0.277766,-0.259979,0.001902,0.0005
top35_mean,trimmed-mean,35,270,-0.261199,-0.373662,-0.144175,0.229488,-0.011547,-0.03697,0.013635,False,-0.276284,-0.258587,0.002612,0.0005
top30_mean,trimmed-mean,30,270,-0.260619,-0.374725,-0.14462,0.230106,-0.012127,-0.041378,0.015831,False,-0.274703,-0.258017,0.002603,0.0005
top25_mean,trimmed-mean,25,270,-0.257659,-0.371808,-0.142097,0.229711,-0.015087,-0.046982,0.013824,False,-0.273022,-0.255647,0.002012,0.0005
top20_mean,trimmed-mean,20,270,-0.254206,-0.366859,-0.140853,0.226006,-0.01854,-0.052918,0.013324,False,-0.271366,-0.253651,0.000555,0.0005
top15_mean,trimmed-mean,15,270,-0.252846,-0.364225,-0.139425,0.224799,-0.0199,-0.058223,0.01484,False,-0.26985,-0.25207,0.000776,0.0005
top10_mean,trimmed-mean,10,270,-0.252992,-0.365699,-0.136149,0.229551,-0.019754,-0.064197,0.021445,False,-0.268038,-0.252257,0.000735,0.0005
top5_mean,trimmed-mean,5,270,-0.249554,-0.360755,-0.134174,0.226581,-0.023192,-0.074865,0.027336,False,-0.265059,-0.25007,-0.000516,0.0005
