slide_id,site,annotatable,annotatable_rank,n_fovs,mean,median,range,stdev,mad,iqr,p5,p10,p15,p20,p25,p30,p35,p40,p45,p50,p55,p60,p65,p70,p75,p80,p85,p90,p95,p100,frac_density_ge_monolayer,frac_density_ge_slightly_dense,frac_density_ge_dense,frac_density_ge_very_dense,frac_rouleaux_ge_slight_rouleaux,frac_rouleaux_ge_some_rouleaux,frac_rouleaux_ge_rouleaux,frac_rouleaux_ge_heavy_rouleaux,top95_mean,top90_mean,top85_mean,top80_mean,top75_mean,top70_mean,top65_mean,top60_mean,top55_mean,top50_mean,top45_mean,top40_mean,top35_mean,top30_mean,top25_mean,top20_mean,top15_mean,top10_mean,top5_mean
KIT-62500666,KIT,can spot annotate,2,324,1.031465,1.020605,0.681694,0.122064,0.076253,0.151433,0.859609,0.890176,0.903186,0.922949,0.937465,0.962758,0.980141,0.996817,1.009115,1.020605,1.035515,1.058216,1.067558,1.079459,1.088898,1.118034,1.152238,1.173027,1.267267,1.440229,1.0,0.981481,0.225309,0.021605,0.996914,0.675926,0.095679,0.015432,1.041987,1.050927,1.060453,1.069458,1.07872,1.087842,1.096853,1.106227,1.115462,1.125423,1.136183,1.147229,1.159812,1.173918,1.191789,1.214453,1.238859,1.27934,1.347465
KIT-62500668,KIT,can spot annotate,2,324,0.725405,0.766617,1.129131,0.211592,0.120182,0.279308,0.380698,0.420072,0.453947,0.50993,0.582653,0.650224,0.681574,0.714932,0.730522,0.766617,0.797642,0.814994,0.829781,0.842146,0.861961,0.894206,0.951263,0.99962,1.024393,1.129131,0.790123,0.407407,0.003086,0.0,0.385802,0.114198,0.0,0.0,0.749972,0.768939,0.789245,0.808206,0.825337,0.839744,0.852901,0.866304,0.879171,0.892668,0.904799,0.916909,0.931193,0.94686,0.965417,0.987961,1.009096,1.028135,1.042536
KIT-62500670,KIT,hard,1,324,0.952691,1.187008,1.724511,0.534185,0.220413,0.702673,0.0,0.0,0.0,0.24598,0.666427,0.783471,0.973965,1.092456,1.148984,1.187008,1.237456,1.263143,1.299769,1.32899,1.3691,1.381944,1.409448,1.4293,1.460257,1.724511,0.768519,0.67284,0.57716,0.237654,0.716049,0.67284,0.540123,0.20679,1.002182,1.057096,1.122443,1.191778,1.233792,1.270088,1.299454,1.323183,1.341197,1.358307,1.374692,1.39032,1.406802,1.421882,1.435413,1.45055,1.469474,1.494973,1.543194
KIT-62500672,KIT,annotatable,4,324,0.677667,0.707179,1.152548,0.20299,0.087265,0.180723,0.26999,0.46079,0.529135,0.577175,0.605512,0.626741,0.652951,0.673428,0.689925,0.707179,0.720702,0.73345,0.75036,0.767505,0.786235,0.804198,0.837237,0.882992,0.944468,1.152548,0.787037,0.111111,0.0,0.0,0.314815,0.07716,0.006173,0.0,0.709279,0.727077,0.741297,0.753332,0.764032,0.774374,0.784532,0.795286,0.805466,0.815874,0.826979,0.839277,0.854343,0.870071,0.888697,0.912071,0.942515,0.985647,1.05306
KIT-62500679,KIT,annotatable,4,324,0.494455,0.460095,0.897465,0.162571,0.076442,0.189317,0.262946,0.318638,0.363882,0.381954,0.395391,0.407234,0.420368,0.433384,0.448321,0.460095,0.477991,0.489871,0.501409,0.530996,0.584708,0.617196,0.664101,0.721628,0.79807,1.039542,0.287037,0.030864,0.0,0.0,0.070988,0.024691,0.0,0.0,0.508395,0.520441,0.531829,0.541564,0.551642,0.562271,0.57353,0.586277,0.599324,0.613655,0.629586,0.647636,0.670351,0.695858,0.722743,0.752291,0.788608,0.841681,0.922463
KIT-62500680,KIT,hard,1,324,0.775531,0.805189,1.045927,0.17549,0.118738,0.241138,0.468088,0.532385,0.608561,0.645973,0.667515,0.693038,0.719909,0.760556,0.780156,0.805189,0.825456,0.848813,0.867962,0.889913,0.908652,0.931038,0.948608,0.965868,1.000437,1.127613,0.891975,0.419753,0.003086,0.0,0.530864,0.111111,0.0,0.0,0.798938,0.815271,0.83021,0.842608,0.854881,0.867067,0.879344,0.891206,0.901906,0.912473,0.923366,0.934084,0.945298,0.956192,0.967186,0.979233,0.991979,1.011493,1.039907
KIT-62500684,KIT,hard,1,324,0.687455,0.665115,0.758916,0.142196,0.102405,0.217246,0.486479,0.526103,0.544658,0.558708,0.576293,0.596963,0.610007,0.62468,0.642866,0.665115,0.687751,0.708074,0.738971,0.759426,0.793539,0.827881,0.86364,0.897012,0.930082,1.124043,0.891975,0.20679,0.0,0.0,0.234568,0.018519,0.003086,0.0,0.700319,0.710718,0.721622,0.732132,0.743058,0.754119,0.765505,0.778573,0.791589,0.804955,0.81888,0.833559,0.849997,0.866447,0.885053,0.903127,0.921811,0.944282,0.974308
KIT-62500686,KIT,hard,1,324,0.804801,0.813991,0.883635,0.154169,0.090853,0.186833,0.542726,0.62286,0.65256,0.672434,0.707516,0.735652,0.751859,0.77157,0.792482,0.813991,0.832866,0.85095,0.864355,0.878886,0.894349,0.912198,0.931556,0.976031,1.055094,1.28526,0.947531,0.45679,0.021605,0.0,0.540123,0.123457,0.024691,0.0,0.821727,0.835133,0.847514,0.858951,0.870079,0.88056,0.890935,0.902193,0.912918,0.92385,0.934662,0.946241,0.959455,0.973644,0.990697,1.012063,1.041732,1.089229,1.159423
KIT-62500687,KIT,annotatable,4,324,0.506244,0.50678,0.661895,0.13278,0.083603,0.170994,0.280639,0.339098,0.374807,0.40095,0.42492,0.44119,0.460435,0.475679,0.488069,0.50678,0.524821,0.536233,0.549062,0.56495,0.595913,0.627078,0.657611,0.672644,0.719903,0.81504,0.367284,0.0,0.0,0.0,0.015432,0.0,0.0,0.0,0.521504,0.533112,0.543943,0.55368,0.562895,0.572077,0.581254,0.59116,0.600989,0.611154,0.62159,0.632838,0.646273,0.660852,0.676584,0.692294,0.707845,0.729407,0.76458
KIT-62500689,KIT,annotatable (hard),3,324,0.164868,0.152413,0.474743,0.122945,0.106681,0.213092,0.001302,0.00834,0.018104,0.038118,0.048814,0.066755,0.090058,0.103912,0.130149,0.152413,0.188296,0.208826,0.221875,0.241733,0.261906,0.282071,0.309991,0.326174,0.360267,0.474743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17343,0.182671,0.19319,0.203398,0.213945,0.224992,0.236014,0.248147,0.260064,0.271825,0.282933,0.293232,0.304803,0.316525,0.329009,0.342647,0.358619,0.379851,0.416648
