blind_id,fov_key,dataset,filename,original_density,original_overlap,cell_density,cell_overlap,sampling_weight
fov-01,tanzania-080526/dpc-081-KTR-72502946.png,tanzania-080526,dpc-081-KTR-72502946.png,very dense,heavy rouleaux,very dense,heavy rouleaux,1.183128
fov-02,tanzania-073026/dpc-203-KTR-72502948.png,tanzania-073026,dpc-203-KTR-72502948.png,very dense,no rouleaux,very dense,no rouleaux,0.077160
fov-03,tanzania-080526/dpc-184-KTR-72502946.png,tanzania-080526,dpc-184-KTR-72502946.png,monolayer,no rouleaux,monolayer,no rouleaux,1.056505
fov-04,tanzania-073026/dpc-048-KTR-72502948.png,tanzania-073026,dpc-048-KTR-72502948.png,monolayer,no rouleaux,monolayer,no rouleaux,1.056505
fov-05,tanzania-080526/dpc-039-KTR-72502946.png,tanzania-080526,dpc-039-KTR-72502946.png,monolayer,no rouleaux,monolayer,no rouleaux,1.056505
fov-06,tanzania-073026/dpc-305-KTR-72502948.png,tanzania-073026,dpc-305-KTR-72502948.png,monolayer,slight rouleaux,monolayer,slight rouleaux,1.080247
fov-07,tanzania-073026/dpc-047-KTR-72502948.png,tanzania-073026,dpc-047-KTR-72502948.png,monolayer,no rouleaux,monolayer,no rouleaux,1.056505
fov-08,tanzania-080526/dpc-067-KTR-72502946.png,tanzania-080526,dpc-067-KTR-72502946.png,slightly dense,some rouleaux,slightly dense,some rouleaux,1.234568
fov-09,tanzania-080526/dpc-144-KTR-72502946.png,tanzania-080526,dpc-144-KTR-72502946.png,slightly dense,no rouleaux,slightly dense,no rouleaux,1.080247
fov-10,tanzania-073026/dpc-195-KTR-72502948.png,tanzania-073026,dpc-195-KTR-72502948.png,monolayer,some rouleaux,monolayer,some rouleaux,0.077160
fov-11,tanzania-080526/dpc-287-KTR-72502946.png,tanzania-080526,dpc-287-KTR-72502946.png,monolayer,no rouleaux,monolayer,no rouleaux,1.056505
fov-12,tanzania-080526/dpc-242-KTR-72502946.png,tanzania-080526,dpc-242-KTR-72502946.png,monolayer,no rouleaux,monolayer,no rouleaux,1.056505
fov-13,tanzania-073026/dpc-251-KTR-72502948.png,tanzania-073026,dpc-251-KTR-72502948.png,slightly dense,slight rouleaux,slightly dense,slight rouleaux,1.311728
fov-14,tanzania-073026/dpc-161-KTR-72502948.png,tanzania-073026,dpc-161-KTR-72502948.png,sparser,no rouleaux,sparser,no rouleaux,1.234568
fov-15,tanzania-080526/dpc-310-KTR-72502946.png,tanzania-080526,dpc-310-KTR-72502946.png,sparser,no rouleaux,sparser,no rouleaux,1.234568
fov-16,tanzania-073026/dpc-164-KTR-72502948.png,tanzania-073026,dpc-164-KTR-72502948.png,monolayer,no rouleaux,monolayer,no rouleaux,1.056505
fov-17,tanzania-080526/dpc-220-KTR-72502946.png,tanzania-080526,dpc-220-KTR-72502946.png,monolayer,no rouleaux,monolayer,no rouleaux,1.056505
fov-18,tanzania-080526/dpc-226-KTR-72502946.png,tanzania-080526,dpc-226-KTR-72502946.png,slightly dense,rouleaux,slightly dense,rouleaux,0.308642
fov-19,tanzania-080526/dpc-266-KTR-72502946.png,tanzania-080526,dpc-266-KTR-72502946.png,monolayer,no rouleaux,monolayer,no rouleaux,1.056505
fov-20,tanzania-080526/dpc-225-KTR-72502946.png,tanzania-080526,dpc-225-KTR-72502946.png,monolayer,no rouleaux,monolayer,no rouleaux,1.056505
