variant,axis,fixed_exact_match,fixed_off_by_one,fixed_flips_vs_v2_2,refit_cv_mean_rho,refit_oof_exact_match,refit_oof_off_by_one,refit_lbp_weight,refit_dropped,refit_pava_merges,refit_gate_enabled
exact,density,0.697428,0.981846,0,0.782916,0.694402,0.980333,0.065358,,,True
exact,overlap,0.683812,0.936460,0,0.737322,0.676248,0.937973,,otsu_separability;lbp_entropy,,True
step2,density,0.697428,0.981846,0,0.782882,0.694402,0.980333,0.064752,,,True
step2,overlap,0.683812,0.936460,0,0.737322,0.676248,0.937973,,otsu_separability;lbp_entropy,,True
step4,density,0.697428,0.981846,0,0.782824,0.694402,0.980333,0.064530,,,True
step4,overlap,0.683812,0.936460,0,0.737322,0.676248,0.937973,,otsu_separability;lbp_entropy,,True
step6,density,0.697428,0.981846,0,0.782895,0.694402,0.980333,0.064469,,,True
step6,overlap,0.683812,0.936460,0,0.737322,0.676248,0.937973,,otsu_separability;lbp_entropy,,True
step8,density,0.697428,0.981846,0,0.783068,0.694402,0.980333,0.065040,,,True
step8,overlap,0.683812,0.936460,0,0.737322,0.676248,0.937973,,otsu_separability;lbp_entropy,,True
step12,density,0.697428,0.981846,0,0.782949,0.694402,0.980333,0.065250,,,True
step12,overlap,0.683812,0.936460,0,0.737322,0.676248,0.937973,,otsu_separability;lbp_entropy,,True
step16,density,0.697428,0.981846,0,0.782858,0.694402,0.980333,0.064085,,,True
step16,overlap,0.683812,0.936460,0,0.737322,0.676248,0.937973,,otsu_separability;lbp_entropy,,True
step24,density,0.695915,0.981846,1,0.782949,0.694402,0.980333,0.064793,,,True
step24,overlap,0.683812,0.936460,0,0.737322,0.676248,0.937973,,otsu_separability;lbp_entropy,,True
step32,density,0.694402,0.981846,2,0.782617,0.695915,0.980333,0.056944,,,True
step32,overlap,0.683812,0.936460,0,0.737322,0.676248,0.937973,,otsu_separability;lbp_entropy,,True
step48,density,0.694402,0.981846,2,0.782326,0.694402,0.980333,0.060656,,,True
step48,overlap,0.683812,0.936460,0,0.737322,0.676248,0.937973,,otsu_separability;lbp_entropy,,True
step64,density,0.692890,0.981846,5,0.782828,0.691377,0.981846,0.056080,,,True
step64,overlap,0.683812,0.936460,0,0.737322,0.676248,0.937973,,otsu_separability;lbp_entropy,,True
step96,density,0.698941,0.981846,5,0.781770,0.697428,0.980333,0.037296,,,True
step96,overlap,0.683812,0.936460,0,0.737322,0.676248,0.937973,,lbp_entropy;otsu_separability,,True
nolbp,density,,,,0.782250,0.695915,0.981846,,,,False
nolbp,overlap,,,,0.737322,0.676248,0.937973,,otsu_separability,,False
