filename,stage,min_s,median_s,spread_s,pct_of_whole,whole_min_s,whole_spread_s
dpc-001-KTR-72502948.png,decode: imread colour,0.16120,0.18083,0.02487,15.38,1.04840,0.65702
dpc-001-KTR-72502948.png,decode: imread grayscale,0.12050,0.14895,0.03738,11.49,1.04840,0.65702
dpc-001-KTR-72502948.png,to_grayscale,0.00263,0.00280,0.00034,0.25,1.04840,0.65702
dpc-001-KTR-72502948.png,otsu_segment,0.01358,0.01433,0.00102,1.30,1.04840,0.65702
dpc-001-KTR-72502948.png,cell_coverage,0.01340,0.01452,0.00199,1.28,1.04840,0.65702
dpc-001-KTR-72502948.png,otsu_separability,0.01455,0.01646,0.00269,1.39,1.04840,0.65702
dpc-001-KTR-72502948.png,correct_illumination(301),0.65078,0.69250,0.22055,62.07,1.04840,0.65702
dpc-001-KTR-72502948.png,tile_glcm grid 7x7,0.11948,0.14432,0.02763,11.40,1.04840,0.65702
dpc-001-KTR-72502948.png,lbp_entropy(step=16),0.09668,0.11160,0.02930,9.22,1.04840,0.65702
dpc-001-KTR-72502948.png,glcm_contrast whole image,0.10772,0.11105,0.00716,10.27,1.04840,0.65702
dpc-001-KTR-72502948.png,edge_density,0.03149,0.03244,0.00101,3.00,1.04840,0.65702
dpc-002-KTR-72502948.png,decode: imread colour,0.15819,0.18225,0.02721,15.11,1.04696,0.05312
dpc-002-KTR-72502948.png,decode: imread grayscale,0.11822,0.14647,0.03715,11.29,1.04696,0.05312
dpc-002-KTR-72502948.png,to_grayscale,0.00279,0.00281,0.00027,0.27,1.04696,0.05312
dpc-002-KTR-72502948.png,otsu_segment,0.01440,0.01515,0.00102,1.38,1.04696,0.05312
dpc-002-KTR-72502948.png,cell_coverage,0.01662,0.01719,0.00102,1.59,1.04696,0.05312
dpc-002-KTR-72502948.png,otsu_separability,0.01548,0.01864,0.00345,1.48,1.04696,0.05312
dpc-002-KTR-72502948.png,correct_illumination(301),0.74568,0.99760,0.33438,71.22,1.04696,0.05312
dpc-002-KTR-72502948.png,tile_glcm grid 7x7,0.11066,0.14348,0.03716,10.57,1.04696,0.05312
dpc-002-KTR-72502948.png,lbp_entropy(step=16),0.11780,0.12677,0.01733,11.25,1.04696,0.05312
dpc-002-KTR-72502948.png,glcm_contrast whole image,0.08908,0.11605,0.02796,8.51,1.04696,0.05312
dpc-002-KTR-72502948.png,edge_density,0.03331,0.03553,0.00487,3.18,1.04696,0.05312
dpc-008-LB-D3-2025-08-30-130619-2412193030-D-thin-2.png,decode: imread colour,0.18031,0.18816,0.22021,13.40,1.34584,0.14848
dpc-008-LB-D3-2025-08-30-130619-2412193030-D-thin-2.png,decode: imread grayscale,0.13941,0.15069,0.01675,10.36,1.34584,0.14848
dpc-008-LB-D3-2025-08-30-130619-2412193030-D-thin-2.png,to_grayscale,0.00284,0.00299,0.00067,0.21,1.34584,0.14848
dpc-008-LB-D3-2025-08-30-130619-2412193030-D-thin-2.png,otsu_segment,0.01474,0.01493,0.00123,1.10,1.34584,0.14848
dpc-008-LB-D3-2025-08-30-130619-2412193030-D-thin-2.png,cell_coverage,0.01432,0.01642,0.00258,1.06,1.34584,0.14848
dpc-008-LB-D3-2025-08-30-130619-2412193030-D-thin-2.png,otsu_separability,0.01482,0.01725,0.00303,1.10,1.34584,0.14848
dpc-008-LB-D3-2025-08-30-130619-2412193030-D-thin-2.png,correct_illumination(301),0.73485,0.82783,0.16870,54.60,1.34584,0.14848
dpc-008-LB-D3-2025-08-30-130619-2412193030-D-thin-2.png,tile_glcm grid 7x7,0.12533,0.14217,0.02013,9.31,1.34584,0.14848
dpc-008-LB-D3-2025-08-30-130619-2412193030-D-thin-2.png,lbp_entropy(step=16),0.08778,0.09852,0.04102,6.52,1.34584,0.14848
dpc-008-LB-D3-2025-08-30-130619-2412193030-D-thin-2.png,glcm_contrast whole image,0.08906,0.10508,0.02269,6.62,1.34584,0.14848
dpc-008-LB-D3-2025-08-30-130619-2412193030-D-thin-2.png,edge_density,0.03589,0.03736,0.00752,2.67,1.34584,0.14848
