slide_bucket,slide_id,fov_id,blob,fov_density_label,fov_density_score
sparser,RUB-72501825,263,gs://tanzania_02032026/TZ2025-Box3/RUB-72501825/dpc-263-RUB-72501825.png,sparser,0.08947316078
sparser,KIT-62500703,68,gs://tanzania_02032026/TZ2025-Box1/KIT-62500703/dpc-068-KIT-62500703.png,monolayer,0.3935991222
sparser,NKR-72502299,282,gs://tanzania_02032026/TZ2025-Box4/NKR-72502299/dpc-282-NKR-72502299.png,sparser,0.1972032311
sparser,KIT-62500732,101,gs://tanzania_02032026/TZ2025-Box1/KIT-62500732/dpc-101-KIT-62500732.png,sparser,0.2359779019
sparser,KIT-62500706,76,gs://tanzania_02032026/TZ2025-Box1/KIT-62500706/dpc-076-KIT-62500706.png,sparser,0.1437095433
monolayer,KIT-62500906,230,gs://tanzania_02032026/TZ2025-Box1/KIT-62500906/dpc-230-KIT-62500906.png,monolayer,0.3142483527
monolayer,KIT-62500920,240,gs://tanzania_02032026/TZ2025-Box1/KIT-62500920/dpc-240-KIT-62500920.png,monolayer,0.326069058
monolayer,KIT-62500917,40,gs://tanzania_02032026/TZ2025-Box1/KIT-62500917/dpc-040-KIT-62500917.png,monolayer,0.3177257859
monolayer,RUB-62501517,147,gs://tanzania_02032026/TZ2025-Box3/RUB-62501517/dpc-147-RUB-62501517.png,monolayer,0.3551936004
monolayer,RUB-72501759,249,gs://tanzania_02032026/TZ2025-Box3/RUB-72501759/dpc-249-RUB-72501759.png,monolayer,0.3721341618
slightly dense,RUB-62501466,6,gs://tanzania_02032026/TZ2025-Box3/RUB-62501466/dpc-006-RUB-62501466.png,slightly dense,0.5486412103
slightly dense,KIT-62500907,117,gs://tanzania_02032026/TZ2025-Box1/KIT-62500907/dpc-117-KIT-62500907.png,monolayer,0.4038185032
slightly dense,RUB-72501739,45,gs://tanzania_02032026/TZ2025-Box3/RUB-72501739/dpc-045-RUB-72501739.png,slightly dense,0.4897395158
slightly dense,KTR-72502954,40,gs://tanzania_02032026/TZ2025-Box5/KTR-72502954/dpc-040-KTR-72502954.png,slightly dense,0.5103591359
slightly dense,KIT-62500893,38,gs://tanzania_02032026/TZ2025-Box1/KIT-62500893/dpc-038-KIT-62500893.png,monolayer,0.3964310073
dense,RUB-72501735,30,gs://tanzania_02032026/TZ2025-Box3/RUB-72501735/dpc-030-RUB-72501735.png,dense,0.6611901262
dense,NKR-72502310,298,gs://tanzania_02032026/TZ2025-Box4/NKR-72502310/dpc-298-NKR-72502310.png,very dense,0.7195568505
dense,NKR-72502337,89,gs://tanzania_02032026/TZ2025-Box4/NKR-72502337/dpc-089-NKR-72502337.png,dense,0.6892442244
dense,RUB-72501743,55,gs://tanzania_02032026/TZ2025-Box3/RUB-72501743/dpc-055-RUB-72501743.png,very dense,0.7702802032
dense,RUB-72501730,21,gs://tanzania_02032026/TZ2025-Box3/RUB-72501730/dpc-021-RUB-72501730.png,slightly dense,0.5801726093
