fov_id,density_score,density_label,overlap_score,overlap_label,empty_field_gated,coverage,otsu_threshold,otsu_separability,saturation_score,lbp_entropy,glcm_contrast,edge_density_unmasked,tile_glcm_cv,tile_glcm_patchiness,error
1,0.2591704034,sparser,0.2106533317,no rouleaux,False,0.1586415816,169,0.5812853452,0.06642555509,3.566812547,58.10870326,0.1294371173,0.07994908893,0.1453195264,
2,0.2458901349,sparser,0.196441613,no rouleaux,False,0.1597960459,169,0.580019442,0.06711123252,3.610141816,52.30234516,0.1242932398,0.05962819455,0.149788654,
3,0.2398767528,sparser,0.1896129931,no rouleaux,False,0.1608118622,169,0.5820666049,0.06720864757,3.620366789,48.91915117,0.1220785714,0.05359484801,0.1446887103,
4,0.2393192423,sparser,0.1853477057,no rouleaux,False,0.1612862245,169,0.588503722,0.06636868107,3.631878642,49.34355208,0.1231789541,0.06674282646,0.08960496244,
5,0.2399838042,sparser,0.1884738868,no rouleaux,False,0.1508139031,170,0.6032988699,0.05982804578,3.604220232,50.1696764,0.1236804847,0.08105302825,0.1799215977,
6,0.2403706225,sparser,0.1887948998,no rouleaux,False,0.1576766582,169,0.5876558733,0.06501704391,3.623660535,49.82986127,0.1225581633,0.07143407135,0.1462367014,
7,0.2100665262,sparser,0.1549697796,no rouleaux,False,0.1454512755,170,0.6226375982,0.05488784267,3.57907314,50.38257026,0.1187714286,0.07323424192,0.1142804972,
8,0.2215494832,sparser,0.1701579406,no rouleaux,False,0.1435456633,170,0.6088995131,0.05614077879,3.588103906,49.55928203,0.1190570153,0.07883803658,0.1704310866,
9,0.2079331066,sparser,0.1521476392,no rouleaux,False,0.1435440051,170,0.5997973744,0.05744668773,3.614285449,47.12742964,0.1190765306,0.07021314694,0.1172130302,
10,0.1953817475,sparser,0.1431240667,no rouleaux,False,0.1409039541,170,0.615273747,0.05420945029,3.573331249,44.73213947,0.1135733418,0.06631962161,0.1454485269,
11,0.2102267067,sparser,0.1678958186,no rouleaux,False,0.1350392857,170,0.6118937469,0.0524095912,3.533739092,42.94286673,0.1113153061,0.1015633812,0.2253061075,
12,0.193775388,sparser,0.148666446,no rouleaux,False,0.1341862245,170,0.6269949961,0.05005213319,3.542783271,41.26820055,0.1070867347,0.1086257283,0.1827789754,
13,0.1698580542,sparser,0.1330970776,no rouleaux,False,0.1264540816,170,0.6376895916,0.04581562997,3.440336585,40.65686142,0.1017419643,0.09564853808,0.2010578259,
14,0.1687677721,sparser,0.1334416415,no rouleaux,False,0.125097449,170,0.6364963521,0.04547337905,3.45331477,39.84609496,0.1006206633,0.0828373145,0.2289330573,
15,0.1493682317,sparser,0.1115935633,no rouleaux,False,0.1254321429,170,0.6466957396,0.04431571046,3.433642754,38.78855068,0.09694387755,0.08508604499,0.1687887238,
16,0.1384126164,sparser,0.1052217701,no rouleaux,False,0.1135567602,171,0.6336404759,0.04160260063,3.397768913,37.06155331,0.09485739796,0.08406372082,0.2065667437,
17,0.1206854147,sparser,0.08278646803,no rouleaux,False,0.1078026786,171,0.6173004254,0.04125603923,3.457546411,34.89375816,0.09119068878,0.05952066298,0.1898277041,
18,0.123560771,sparser,0.09834651133,no rouleaux,False,0.1053808673,171,0.6457392756,0.0373323024,3.380932086,33.28196676,0.08464846939,0.08926134162,0.2569624705,
19,0.3159452789,monolayer,0.2910558812,no rouleaux,False,0.163344898,168,0.5338315012,0.07614624586,3.650300974,46.05716245,0.1221293367,0.1399788616,0.347718027,
20,0.2780464546,sparser,0.2442621429,no rouleaux,False,0.1515114796,169,0.5487550875,0.06836878436,3.635937386,45.09067532,0.1228102041,0.1215831747,0.2936157109,
21,0.2535151058,sparser,0.2115636327,no rouleaux,False,0.1523079082,169,0.5563809121,0.0675666953,3.626138131,45.14159372,0.123996301,0.09392856822,0.2173557176,
22,0.2497767315,sparser,0.2051578404,no rouleaux,False,0.1504354592,169,0.5715852458,0.06444877027,3.602128971,47.16040664,0.1260975765,0.08931916373,0.2118660674,
23,0.249964456,sparser,0.2074463266,no rouleaux,False,0.1491195153,169,0.5720156993,0.06382081148,3.608205698,45.44824459,0.1208446429,0.1143820687,0.2123375006,
24,0.2520534752,sparser,0.2182239538,no rouleaux,False,0.1440218112,169,0.5567088768,0.06384359046,3.635337588,40.92801564,0.1114709184,0.142613669,0.2632871078,
25,0.2457933467,sparser,0.2112943314,no rouleaux,False,0.1433534439,169,0.5780922743,0.06048192548,3.609695595,41.88341246,0.1131839286,0.1043996458,0.3013816225,
26,0.2002644689,sparser,0.1583459422,no rouleaux,False,0.1330346939,170,0.5840536422,0.05533529637,3.580454805,40.86207411,0.1108626276,0.07962929407,0.217670047,
27,0.1985025503,sparser,0.1559021161,no rouleaux,False,0.1326269133,170,0.5825893423,0.05535988709,3.603126564,38.92164218,0.1087332908,0.08806946059,0.2132352177,
28,0.1841698811,sparser,0.1431885532,no rouleaux,False,0.1285001276,170,0.5997879763,0.05142729609,3.543608009,37.71407006,0.1041688776,0.09568174047,0.2079754051,
29,0.1597413586,sparser,0.1185267311,no rouleaux,False,0.1232348214,170,0.6039824027,0.04880315788,3.475958866,37.24729689,0.1019894133,0.0910862632,0.1644575898,
30,0.1660174826,sparser,0.1316203593,no rouleaux,False,0.1199742347,170,0.6133668036,0.04638602185,3.458895726,35.12391473,0.0964559949,0.1119644302,0.2252944395,
31,0.1574094168,sparser,0.1238601261,no rouleaux,False,0.1114054847,171,0.6173067016,0.04263413239,3.435914857,36.1201742,0.09689502551,0.11584422,0.2329770052,
32,0.1426554828,sparser,0.109654407,no rouleaux,False,0.1083748724,171,0.6202932455,0.04115067109,3.426542009,34.93968818,0.09312334184,0.1071860288,0.2229942034,
33,0.1243030921,sparser,0.09664729503,no rouleaux,False,0.1062368622,171,0.6388531339,0.03836710986,3.384948167,32.47068111,0.08716632653,0.09048241657,0.2424872577,
34,0.1160734235,sparser,0.08888094969,no rouleaux,False,0.100565051,171,0.6235896615,0.0378537249,3.351589032,32.38708788,0.0861494898,0.1015482922,0.221608033,
35,0.1001283112,sparser,0.08028837466,no rouleaux,False,0.09415012755,171,0.6349323379,0.03437116695,3.297076576,30.61624146,0.07982334184,0.09562067107,0.2546143364,
36,0.1093784045,sparser,0.09383664186,no rouleaux,False,0.09358903061,171,0.6396757593,0.03372239639,3.32048284,30.00455948,0.0773625,0.09504169815,0.3130861855,
37,0.2555583418,sparser,0.220223817,no rouleaux,False,0.135511352,170,0.5802426655,0.05688188393,3.530272098,50.66538525,0.1175135204,0.173268986,0.2373958613,
38,0.2314544905,sparser,0.1938811661,no rouleaux,False,0.1266121173,171,0.607663288,0.04967458182,3.51247581,47.11278335,0.1128110969,0.1618213228,0.2541999143,
39,0.2009093559,sparser,0.1602121443,no rouleaux,False,0.1238706633,171,0.610782188,0.04821266853,3.505801191,42.59420681,0.1079066327,0.1412152964,0.2113318898,
40,0.2070242906,sparser,0.1762168117,no rouleaux,False,0.119271301,171,0.6333882243,0.04372626346,3.464342778,41.85750412,0.104132398,0.1594793986,0.2918375205,
41,0.1906969508,sparser,0.1629173153,no rouleaux,False,0.115157398,171,0.6354670931,0.04197866103,3.445809332,39.73054755,0.09930714286,0.1429445447,0.305189325,
42,0.1934496383,sparser,0.1629951244,no rouleaux,False,0.1208381378,170,0.620954083,0.04580320274,3.443969843,40.27444341,0.1018979592,0.1308453827,0.2758604101,
43,0.1499562388,sparser,0.1077624271,no rouleaux,False,0.1142517857,171,0.6289640169,0.04239152363,3.463484756,40.11080905,0.100997449,0.09980705507,0.1654437731,
44,0.1333615932,sparser,0.09289798071,no rouleaux,False,0.1104590561,171,0.6278699459,0.04110513454,3.419117802,38.78375515,0.09820063776,0.09450021357,0.149432174,
45,0.1246636974,sparser,0.08631159251,no rouleaux,False,0.1081413265,171,0.6221746488,0.04085853468,3.383517812,37.64580194,0.09686989796,0.08917154262,0.1485593387,
46,0.114806735,sparser,0.09015758885,no rouleaux,False,0.1024151786,171,0.6452529985,0.03633147751,3.340164803,33.02063046,0.0854815051,0.08830661004,0.2443230153,
47,0.09854293654,sparser,0.06523882536,no rouleaux,False,0.1022381378,171,0.6370921755,0.03710302015,3.355415031,32.80367968,0.0865684949,0.08744484043,0.1562171703,
48,0.0839261592,sparser,0.05138545684,no rouleaux,False,0.09984477041,171,0.635905605,0.03635292127,3.343585247,30.87593131,0.08254170918,0.07923599316,0.1450916376,
49,0.08255130691,sparser,0.05739101862,no rouleaux,False,0.09530293367,171,0.6404198043,0.03426904754,3.308196239,30.49302114,0.07969094388,0.07178006661,0.20427694,
50,0.08693901901,sparser,0.06804224333,no rouleaux,False,0.09324017857,171,0.6338737579,0.0341376762,3.293407766,28.84450673,0.07646466837,0.0740463706,0.256490862,
51,0.07626104335,sparser,0.05507510631,no rouleaux,False,0.09357716837,171,0.6494137649,0.03280686715,3.293937762,28.09627597,0.07412219388,0.07709801231,0.217797262,
52,0.05063285322,sparser,0.02366737179,no rouleaux,False,0.08928673469,171,0.6321277104,0.03284611552,3.270284004,27.72161005,0.07363571429,0.06734206362,0.1360882384,
53,0.05066343455,sparser,0.03090013964,no rouleaux,False,0.08315994898,171,0.6205996249,0.03155091583,3.233208611,26.30748077,0.07041479592,0.06619271651,0.1870846841,
54,0.04979757653,sparser,0.03052750963,no rouleaux,False,0.08225127551,171,0.6311331274,0.03033977076,3.233720698,26.24718753,0.06895420918,0.06998648815,0.1852382225,
55,0.1028402173,sparser,0.06795593487,no rouleaux,False,0.1031093112,170,0.5914455591,0.042125767,3.374257023,35.46275894,0.09143647959,0.07393745246,0.1274271971,
56,0.09450452843,sparser,0.05547579599,no rouleaux,False,0.1006344388,171,0.6059096017,0.03965906606,3.399116053,35.17562488,0.08994961735,0.05829835213,0.1107718196,
57,0.09104455606,sparser,0.05075793788,no rouleaux,False,0.1017067602,171,0.6194238746,0.03870716472,3.415301593,33.38314601,0.08761441327,0.0602339535,0.1080346886,
58,0.08958725342,sparser,0.05306276828,no rouleaux,False,0.1051918367,170,0.6237979036,0.03957338951,3.370909404,32.66869586,0.08573354592,0.04465189807,0.09764034826,
