fov_id,density_score,density_label,overlap_score,overlap_label,empty_field_gated,coverage,otsu_threshold,otsu_separability,saturation_score,lbp_entropy,glcm_contrast,edge_density_unmasked,tile_glcm_cv,tile_glcm_patchiness,error
1,0.4322106172,monolayer,0.3731872447,no rouleaux,False,0.1895029337,169,0.5806888665,0.07946068992,3.798531473,76.01569568,0.173021301,0.1436237366,0.311790734,
2,0.4476900827,slightly dense,0.378835033,slight rouleaux,False,0.2212377551,168,0.5639218804,0.09647694422,3.995686879,71.7252138,0.1679991071,0.0883191024,0.241949568,
3,0.4935760075,slightly dense,0.4297968768,slight rouleaux,False,0.2296103316,168,0.5709066529,0.09852426572,3.978163082,74.83517905,0.1742382653,0.1298778079,0.306878715,
4,0.5095097048,slightly dense,0.4363467681,slight rouleaux,False,0.2630465561,167,0.5730419722,0.1123098388,3.94304293,80.47818453,0.1877816327,0.1060184821,0.1497223323,
5,0.4806801219,slightly dense,0.4052042967,slight rouleaux,False,0.2435844388,168,0.5820382881,0.101808969,3.943369769,80.07780525,0.1857747449,0.08813363898,0.1817300798,
6,0.5220450826,slightly dense,0.4459713829,slight rouleaux,False,0.2751103316,167,0.5831692605,0.114674443,3.981128041,88.22081327,0.1914788265,0.07243897679,0.1421294408,
7,0.515888774,slightly dense,0.4427011362,slight rouleaux,False,0.2676594388,167,0.5820389204,0.111871228,3.957929931,85.8637813,0.1848280612,0.07373820134,0.172203161,
8,0.5261859641,slightly dense,0.4527018328,some rouleaux,False,0.2690209184,167,0.5714837097,0.115279846,3.997988493,88.8665774,0.1838443878,0.08073407393,0.1660612157,
9,0.5802797712,slightly dense,0.5126766789,some rouleaux,False,0.3080936224,166,0.5809812302,0.1290970107,4.000248922,96.42880624,0.1918410714,0.07175004529,0.1975219372,
10,0.5467763732,slightly dense,0.4752689889,some rouleaux,False,0.2833516582,167,0.5783013409,0.1194890143,4.007233254,98.37215345,0.1927395408,0.07282229096,0.1905205495,
11,0.5072255181,slightly dense,0.4289930252,slight rouleaux,False,0.2576281888,168,0.5817340522,0.1077570986,4.02380554,92.90984589,0.1874116071,0.07042951892,0.1734128857,
12,0.5378708922,slightly dense,0.4598914223,some rouleaux,False,0.284775,167,0.5861687644,0.1178487901,4.038270554,94.76905449,0.1894035714,0.06654022153,0.1527728042,
13,0.5700859799,slightly dense,0.4958002376,some rouleaux,False,0.3116820153,166,0.5758985486,0.1321847951,4.036984739,87.59628661,0.1805156888,0.05986426291,0.09719333684,
14,0.4761880475,slightly dense,0.3945931947,slight rouleaux,False,0.246705102,168,0.583546488,0.1027412062,4.014707045,85.65104411,0.1779746173,0.05986661746,0.1372855192,
15,0.5275326259,slightly dense,0.4521204283,some rouleaux,False,0.2775104592,167,0.5796582044,0.1166492447,4.040991879,85.15789439,0.1779628827,0.06311656774,0.1703761959,
16,0.5187319788,slightly dense,0.4485261678,slight rouleaux,False,0.2947017857,166,0.5767903882,0.1247206283,3.992281778,76.79311235,0.1678209184,0.05280451696,0.102382914,
17,0.4306702906,monolayer,0.365735956,no rouleaux,False,0.2471151786,167,0.5634549791,0.1078769008,3.909353896,69.01751689,0.1549164541,0.06044550844,0.109644042,
18,0.6401030223,dense,0.5793934457,rouleaux,False,0.332422449,165,0.5773557099,0.14049645,4.012304524,91.52026781,0.1834848214,0.1302019503,0.2219855934,
19,0.4091527006,monolayer,0.341999108,no rouleaux,False,0.1932422194,169,0.5877920381,0.07965598141,3.809876824,76.20235577,0.1733350765,0.1013212974,0.2451114238,
