sample_id,country,boundary_fov_id,n_spots_detected,baseline_mean,baseline_std,baseline_median,baseline_mad,n_fovs_on_slide,ratio_to_median,robust_zscore,mean_zscore,flags,no_data_reason
LB-D10-2025-12-29-150312-0171084-VFPCHC-2-4,Liberia,1,50,97.931,299.586,46.5,20.015,130,1.075,0.175,-0.16,mean_median_divergence,
LB-D10-2025-12-29-150312-0171084-VFPCHC-2-4,Liberia,324,,,,,,,,,,no_data,fov_id missing from detection results
LB-D10-2025-12-30-083614-0250901VFPCHC-2-1,Liberia,1,176,266.167,572.779,160.0,74.13,324,1.1,0.216,-0.157,mean_median_divergence,
LB-D10-2025-12-30-083614-0250901VFPCHC-2-1,Liberia,324,75,266.167,572.779,160.0,74.13,324,0.469,-1.147,-0.334,mean_median_divergence,
LB-D10-2025-12-30-084453-0250071VFPCHC-2-2,Liberia,1,250,148.969,310.791,97.5,49.667,324,2.564,3.07,0.325,mean_median_divergence;high_outlier,
LB-D10-2025-12-30-084453-0250071VFPCHC-2-2,Liberia,324,64,148.969,310.791,97.5,49.667,324,0.656,-0.674,-0.273,mean_median_divergence,
LB-D11-2025-12-17-115859-0250319D-thin-4-1,Liberia,1,1636,1716.333,692.978,1600.5,661.981,324,1.022,0.054,-0.116,,
LB-D11-2025-12-17-115859-0250319D-thin-4-1,Liberia,324,592,1716.333,692.978,1600.5,661.981,324,0.37,-1.523,-1.622,,
LB-D11-2025-12-19-111309-0211715-VFPCHC-3-1,Liberia,1,1340,1878.213,741.238,1830.0,611.572,324,0.732,-0.801,-0.726,,
LB-D11-2025-12-19-111309-0211715-VFPCHC-3-1,Liberia,324,1486,1878.213,741.238,1830.0,611.572,324,0.812,-0.562,-0.529,,
LB-D11-2025-12-19-131014-0241591-VFPCHC-3-2,Liberia,1,3111,2571.66,999.044,2364.0,945.899,324,1.316,0.79,0.54,,
LB-D11-2025-12-19-131014-0241591-VFPCHC-3-2,Liberia,324,1431,2571.66,999.044,2364.0,945.899,324,0.605,-0.986,-1.142,,
LB-D11-2025-12-19-134126-025073-VFPCHC-3-1,Liberia,1,3552,1958,1125.461,1873.0,1180.891,324,1.896,1.422,1.416,,
LB-D11-2025-12-19-134126-025073-VFPCHC-3-1,Liberia,324,2656,1958,1125.461,1873.0,1180.891,324,1.418,0.663,0.62,,
LB-D3-2025-08-30-103102-250876706-D-thin-4,Liberia,1,538,808.617,647.573,561.0,375.839,324,0.959,-0.061,-0.418,mean_median_divergence,
LB-D3-2025-08-30-103102-250876706-D-thin-4,Liberia,324,554,808.617,647.573,561.0,375.839,324,0.988,-0.019,-0.393,mean_median_divergence,
LB-D3-2025-09-02-141940-25087110-D-Only-1-2,Liberia,1,406,479.889,269.855,415.0,231.286,324,0.978,-0.039,-0.274,,
