sample_id,fov_id,country,spot_truth,notes,target_n_spots,baseline_mean,baseline_std,baseline_median,baseline_mad,n_fovs_on_slide,ratio_to_median,robust_zscore,mean_zscore,flags,no_data_reason
LB-D10-2025-12-29-150312-0171084-VFPCHC-2-4,153,Liberia,yes,,1818,97.931,299.586,46.5,20.015,130,39.097,88.508,5.741,same_slide_contamination;mean_median_divergence;high_outlier,
LB-D10-2025-12-29-150312-0171084-VFPCHC-2-4,154,Liberia,yes,,2866,97.931,299.586,46.5,20.015,130,61.634,140.869,9.24,same_slide_contamination;mean_median_divergence;high_outlier,
LB-D10-2025-12-30-083614-0250901VFPCHC-2-1,210,Liberia,yes,,4005,266.167,572.779,160.0,74.13,324,25.031,51.868,6.528,same_slide_contamination;mean_median_divergence;high_outlier,
LB-D10-2025-12-30-083614-0250901VFPCHC-2-1,227,Liberia,yes,,3168,266.167,572.779,160.0,74.13,324,19.8,40.577,5.066,same_slide_contamination;mean_median_divergence;high_outlier,
LB-D10-2025-12-30-084453-0250071VFPCHC-2-2,200,Liberia,yes,,5072,148.969,310.791,97.5,49.667,324,52.021,100.157,15.84,mean_median_divergence;high_outlier,
LB-D11-2025-12-17-115859-0250319D-thin-4-1,29,Liberia,no,background,3473,1716.333,692.978,1600.5,661.981,324,2.17,2.829,2.535,high_outlier,
LB-D11-2025-12-19-111309-0211715-VFPCHC-3-1,277,Liberia,yes,background,6003,1878.213,741.238,1830.0,611.572,324,3.28,6.823,5.565,high_outlier,
LB-D11-2025-12-19-131014-0241591-VFPCHC-3-2,278,Liberia,yes,background,7231,2571.66,999.044,2364.0,945.899,324,3.059,5.145,4.664,high_outlier,
LB-D11-2025-12-19-134126-025073-VFPCHC-3-1,1,Liberia,no,background,3552,1958,1125.461,1873.0,1180.891,324,1.896,1.422,1.416,,
LB-D3-2025-08-30-103102-250876706-D-thin-4,257,Liberia,no,background,2477,808.617,647.573,561.0,375.839,324,4.415,5.098,2.576,same_slide_contamination;mean_median_divergence;high_outlier,
LB-D3-2025-08-30-103102-250876706-D-thin-4,269,Liberia,no,background,1385,808.617,647.573,561.0,375.839,324,2.469,2.192,0.89,same_slide_contamination;mean_median_divergence;high_outlier,
LB-D3-2025-08-30-103102-250876706-D-thin-4,274,Liberia,no,background,1864,808.617,647.573,561.0,375.839,324,3.323,3.467,1.63,same_slide_contamination;mean_median_divergence;high_outlier,
LB-D3-2025-08-30-103102-250876706-D-thin-4,279,Liberia,no,background,1468,808.617,647.573,561.0,375.839,324,2.617,2.413,1.018,same_slide_contamination;mean_median_divergence;high_outlier,
LB-D3-2025-08-30-103102-250876706-D-thin-4,289,Liberia,no,background,2433,808.617,647.573,561.0,375.839,324,4.337,4.981,2.508,same_slide_contamination;mean_median_divergence;high_outlier,
LB-D3-2025-09-02-141940-25087110-D-Only-1-2,42,Liberia,yes,background,1710,479.889,269.855,415.0,231.286,324,4.12,5.599,4.558,high_outlier,
LB-D3-2025-09-09-093425-250917463-D-Only-1-1,166,Liberia,yes,,1998,214.528,387.18,168.0,41.513,324,11.893,44.083,4.606,mean_median_divergence;high_outlier,
LB-D3-2025-09-27-121918-17217958-D-thin-4-4,262,Liberia,yes,,9960,502.438,758.616,362.5,97.11,324,27.476,98.831,12.467,mean_median_divergence;high_outlier,
LB-D3-2025-10-03-104211-250917371-D-thin-2-3,4,Liberia,yes,,8239,236.974,785.929,145.0,53.374,270,56.821,151.648,10.182,mean_median_divergence;high_outlier,
LB-D3-2025-10-03-104643-250917465-D-thin-3-4,185,Liberia,yes,green,2119,217.184,226.757,190.0,59.304,288,11.153,32.527,8.387,high_outlier,
LB-D3-2025-10-03-124025-2404175445D-thin-2-3,1,Liberia,no,background,261,256.758,265.127,220.0,65.234,306,1.186,0.629,0.016,same_slide_contamination,
LB-D3-2025-10-03-124025-2404175445D-thin-2-3,16,Liberia,no,background,365,256.758,265.127,220.0,65.234,306,1.659,2.223,0.408,same_slide_contamination;high_outlier,
LB-D3-2025-10-03-124025-2404175445D-thin-2-3,17,Liberia,no,background,385,256.758,265.127,220.0,65.234,306,1.75,2.529,0.484,same_slide_contamination;high_outlier,
LB-D3-2025-10-03-124025-2404175445D-thin-2-3,18,Liberia,no,background,390,256.758,265.127,220.0,65.234,306,1.773,2.606,0.503,same_slide_contamination;high_outlier,
LB-D3-2025-10-03-124025-2404175445D-thin-2-3,19,Liberia,no,background,190,256.758,265.127,220.0,65.234,306,0.864,-0.46,-0.252,same_slide_contamination,
LB-D3-2025-10-03-124025-2404175445D-thin-2-3,53,Liberia,no,background,484,256.758,265.127,220.0,65.234,306,2.2,4.047,0.857,same_slide_contamination;high_outlier,
LB-D3-2025-10-03-124025-2404175445D-thin-2-3,114,Liberia,yes,,4571,256.758,265.127,220.0,65.234,306,20.777,66.698,16.272,same_slide_contamination;high_outlier,
LB-D3-2025-10-03-124025-2404175445D-thin-2-3,125,Liberia,yes,,534,256.758,265.127,220.0,65.234,306,2.427,4.813,1.046,same_slide_contamination;high_outlier,
LB-D3-2025-10-03-124025-2404175445D-thin-2-3,126,Liberia,no,artifact,1181,256.758,265.127,220.0,65.234,306,5.368,14.731,3.486,same_slide_contamination;high_outlier,
LB-D3-2025-10-03-125352-2402169466D-thin-2-1,3,Liberia,yes,diffuse,2656,271.676,143.033,252.0,43.737,324,10.54,54.965,16.67,high_outlier,
LB-D3-2025-10-03-130859-250916865-D-thin-1-4,236,Liberia,yes,,2907,404.275,296.445,345.0,108.23,324,8.426,23.672,8.442,high_outlier,
LB-D3-2025-10-22-131729-250917745-D-thin-2-3,134,Liberia,yes,double,9946,401.611,696.884,271.5,107.488,324,36.634,90.005,13.696,mean_median_divergence;high_outlier,
LB-D3-2025-10-22-132316-2411189646-D-thin-1-4,135,Liberia,yes,diffuse,2858,517.475,409.56,398.5,155.673,324,7.172,15.799,5.715,mean_median_divergence;high_outlier,
LB-D3-2025-10-22-140622-250917738-D-thin-1-1,122,Liberia,yes,double,9030,633.895,1445.278,204.0,119.349,324,44.265,73.951,5.809,same_slide_contamination;mean_median_divergence;high_outlier,
LB-D3-2025-10-22-140622-250917738-D-thin-1-1,238,Liberia,yes,,1524,633.895,1445.278,204.0,119.349,324,7.471,11.06,0.616,same_slide_contamination;mean_median_divergence;high_outlier,
LB-D3-2025-10-24-113736-250918214-D-thin-2-3,96,Liberia,no,relabeled by emily 2026-08-07 (was yes),957,294.905,107.717,271.0,62.269,168,3.531,11.017,6.147,high_outlier,
