sample_id,fov_id,country,spot_truth,notes,target_n_positives,baseline_mean,baseline_std,baseline_median,baseline_mad,n_other_fovs_on_slide,ratio_to_median,robust_zscore,mean_zscore,flags,no_data_reason
LB-D10-2025-12-29-150312-0171084-VFPCHC-2-4,153,Liberia,yes,,0,0.008,0.088,0,0.0,129,,,-0.088,same_slide_contamination;zero_or_undefined_baseline,
LB-D10-2025-12-29-150312-0171084-VFPCHC-2-4,154,Liberia,yes,,0,0.008,0.088,0,0.0,129,,,-0.088,same_slide_contamination;zero_or_undefined_baseline,
LB-D10-2025-12-30-083614-0250901VFPCHC-2-1,210,Liberia,yes,,2,0.198,0.848,0,0.0,323,,,2.126,same_slide_contamination;zero_or_undefined_baseline,
LB-D10-2025-12-30-083614-0250901VFPCHC-2-1,227,Liberia,yes,,9,0.176,0.698,0,0.0,323,,,12.639,same_slide_contamination;zero_or_undefined_baseline,
LB-D10-2025-12-30-084453-0250071VFPCHC-2-2,200,Liberia,yes,,6,0.037,0.189,0,0.0,323,,,31.478,zero_or_undefined_baseline,
LB-D11-2025-12-17-115859-0250319D-thin-4-1,29,Liberia,no,background,0,0.003,0.056,0,0.0,323,,,-0.056,zero_or_undefined_baseline,
LB-D11-2025-12-19-111309-0211715-VFPCHC-3-1,277,Liberia,yes,background,0,0.009,0.096,0,0.0,323,,,-0.097,zero_or_undefined_baseline,
LB-D11-2025-12-19-131014-0241591-VFPCHC-3-2,278,Liberia,yes,background,1,0.006,0.079,0,0.0,323,,,12.649,zero_or_undefined_baseline,
LB-D11-2025-12-19-134126-025073-VFPCHC-3-1,1,Liberia,no,background,0,0.006,0.079,0,0.0,323,,,-0.079,zero_or_undefined_baseline,
LB-D3-2025-08-30-103102-250876706-D-thin-4,257,Liberia,no,background,0,0.015,0.124,0,0.0,323,,,-0.125,same_slide_contamination;zero_or_undefined_baseline,
LB-D3-2025-08-30-103102-250876706-D-thin-4,269,Liberia,no,background,0,0.015,0.124,0,0.0,323,,,-0.125,same_slide_contamination;zero_or_undefined_baseline,
LB-D3-2025-08-30-103102-250876706-D-thin-4,274,Liberia,no,background,0,0.015,0.124,0,0.0,323,,,-0.125,same_slide_contamination;zero_or_undefined_baseline,
LB-D3-2025-08-30-103102-250876706-D-thin-4,279,Liberia,no,background,0,0.015,0.124,0,0.0,323,,,-0.125,same_slide_contamination;zero_or_undefined_baseline,
LB-D3-2025-08-30-103102-250876706-D-thin-4,289,Liberia,no,background,0,0.015,0.124,0,0.0,323,,,-0.125,same_slide_contamination;zero_or_undefined_baseline,
LB-D3-2025-09-02-141940-25087110-D-Only-1-2,42,Liberia,yes,background,0,0.006,0.079,0,0.0,323,,,-0.079,zero_or_undefined_baseline,
LB-D3-2025-09-09-093425-250917463-D-Only-1-1,166,Liberia,yes,,0,0.025,0.156,0,0.0,323,,,-0.159,zero_or_undefined_baseline,
LB-D3-2025-09-27-121918-17217958-D-thin-4-4,262,Liberia,yes,,0,0.118,0.4,0,0.0,323,,,-0.294,zero_or_undefined_baseline,
LB-D3-2025-10-03-104211-250917371-D-thin-2-3,4,Liberia,yes,,1,0.033,0.2,0,0.0,269,,,4.837,zero_or_undefined_baseline,
LB-D3-2025-10-03-104643-250917465-D-thin-3-4,185,Liberia,yes,green,9,0.213,0.466,0,0.0,287,,,18.868,zero_or_undefined_baseline,
LB-D3-2025-10-03-124025-2404175445D-thin-2-3,1,Liberia,no,background,0,0.269,0.538,0,0.0,305,,,-0.5,same_slide_contamination;zero_or_undefined_baseline,
LB-D3-2025-10-03-124025-2404175445D-thin-2-3,16,Liberia,no,background,0,0.269,0.538,0,0.0,305,,,-0.5,same_slide_contamination;zero_or_undefined_baseline,
LB-D3-2025-10-03-124025-2404175445D-thin-2-3,17,Liberia,no,background,1,0.266,0.536,0,0.0,305,,,1.369,same_slide_contamination;zero_or_undefined_baseline,
LB-D3-2025-10-03-124025-2404175445D-thin-2-3,18,Liberia,no,background,0,0.269,0.538,0,0.0,305,,,-0.5,same_slide_contamination;zero_or_undefined_baseline,
LB-D3-2025-10-03-124025-2404175445D-thin-2-3,19,Liberia,no,background,0,0.269,0.538,0,0.0,305,,,-0.5,same_slide_contamination;zero_or_undefined_baseline,
LB-D3-2025-10-03-124025-2404175445D-thin-2-3,53,Liberia,no,background,0,0.269,0.538,0,0.0,305,,,-0.5,same_slide_contamination;zero_or_undefined_baseline,
LB-D3-2025-10-03-124025-2404175445D-thin-2-3,114,Liberia,yes,,0,0.269,0.538,0,0.0,305,,,-0.5,same_slide_contamination;zero_or_undefined_baseline,
LB-D3-2025-10-03-124025-2404175445D-thin-2-3,125,Liberia,yes,,1,0.266,0.536,0,0.0,305,,,1.369,same_slide_contamination;zero_or_undefined_baseline,
LB-D3-2025-10-03-124025-2404175445D-thin-2-3,126,Liberia,no,artifact,0,0.269,0.538,0,0.0,305,,,-0.5,same_slide_contamination;zero_or_undefined_baseline,
LB-D3-2025-10-03-125352-2402169466D-thin-2-1,3,Liberia,yes,diffuse,0,0.108,0.34,0,0.0,323,,,-0.319,zero_or_undefined_baseline,
LB-D3-2025-10-03-130859-250916865-D-thin-1-4,236,Liberia,yes,,1,0.006,0.079,0,0.0,323,,,12.649,zero_or_undefined_baseline,
LB-D3-2025-10-22-131729-250917745-D-thin-2-3,134,Liberia,yes,double,0,0.22,1.36,0,0.0,323,,,-0.162,zero_or_undefined_baseline,
LB-D3-2025-10-22-132316-2411189646-D-thin-1-4,135,Liberia,yes,diffuse,1,0.059,0.236,0,0.0,323,,,3.994,zero_or_undefined_baseline,
LB-D3-2025-10-22-140622-250917738-D-thin-1-1,122,Liberia,yes,double,0,0.062,0.266,0,0.0,323,,,-0.233,same_slide_contamination;zero_or_undefined_baseline,
LB-D3-2025-10-22-140622-250917738-D-thin-1-1,238,Liberia,yes,,0,0.062,0.266,0,0.0,323,,,-0.233,same_slide_contamination;zero_or_undefined_baseline,
LB-D3-2025-10-24-113736-250918214-D-thin-2-3,96,Liberia,no,relabeled by emily 2026-08-07 (was yes),3,0.024,0.153,0,0.0,167,,,19.406,zero_or_undefined_baseline,
LB-D3-2025-10-24-132012-25046898-D-thin-1-4,3,Liberia,yes,diffuse,2,0.077,0.543,0,0.0,323,,,3.538,same_slide_contamination;zero_or_undefined_baseline,
LB-D3-2025-10-24-132012-25046898-D-thin-1-4,305,Liberia,yes,,9,0.056,0.243,0,0.0,323,,,36.824,same_slide_contamination;zero_or_undefined_baseline,
LB-D3-2025-10-24-162727-230918080-D-thin-1-4,8,Liberia,yes,diffuse,0,0.096,0.402,0,0.0,323,,,-0.239,zero_or_undefined_baseline,
LB-D3-2025-10-25-105806-180951467-D-thin-1-1,270,Liberia,yes,,0,0.009,0.096,0,0.0,323,,,-0.097,zero_or_undefined_baseline,
LB-D3-2025-10-25-150947-250917467-D-thin-3-2,235,Liberia,yes,,1,0.622,1.155,0,0.0,323,,,0.327,zero_or_undefined_baseline,
LB-D3-2025-10-27-123159-251123404-D-thin-4-1,48,Liberia,yes,,0,0.074,0.274,0,0.0,323,,,-0.271,same_slide_contamination;zero_or_undefined_baseline,
LB-D3-2025-10-27-123159-251123404-D-thin-4-1,49,Liberia,yes,,0,0.074,0.274,0,0.0,323,,,-0.271,same_slide_contamination;zero_or_undefined_baseline,
LB-D3-2025-10-27-124239-250916732-D-thin-1-3,301,Liberia,yes,,1,1.384,1.707,1,1.483,323,1.0,0.0,-0.225,mean_median_divergence,
LB-D3-2025-10-27-134711-250917368-D-thin-1-3,52,Liberia,yes,,0,0.009,0.096,0,0.0,323,,,-0.097,zero_or_undefined_baseline,
LB-D3-2025-10-27-144635-250918691-D-thin-2-2,57,Liberia,no,artifact,1,0.455,0.74,0,0.0,323,,,0.737,same_slide_contamination;zero_or_undefined_baseline,
LB-D3-2025-10-27-144635-250918691-D-thin-2-2,243,Liberia,no,background,0,0.458,0.74,0,0.0,323,,,-0.619,same_slide_contamination;zero_or_undefined_baseline,
LB-D3-2025-10-27-145205-250917002-D-thin-3-3,310,Liberia,no,artifact,2,1.477,1.445,1,1.483,323,2.0,0.674,0.362,mean_median_divergence,
LB-D3-2025-10-27-154305-250917412-D-thin-1-4,119,Liberia,yes,diffuse,0,0.015,0.124,0,0.0,323,,,-0.125,zero_or_undefined_baseline,
LB-D3-2025-10-27-155920-250713919-D-thin-3-3,169,Liberia,no,background,2,0.35,0.695,0,0.0,323,,,2.375,zero_or_undefined_baseline,
LB-D3-2025-10-27-173317-250917493-D-thin-2-4,82,Liberia,yes,,4,0.347,4.236,0,0.0,323,,,0.862,zero_or_undefined_baseline,
LB-D5-2026-01-27-112616-0240052-VFPCHC-2-2,40,Liberia,no,background,0,3.678,3.327,3,2.965,323,0.0,-1.012,-1.105,,
KIT-62500763,200,Tanzania,yes,green,,,,,,,,,,no_data,no detection_results found for this sample
KIT-62501035,67,Tanzania,yes,,0,0.446,0.898,0,0.0,323,,,-0.496,zero_or_undefined_baseline,
KIT-62501062,83,Tanzania,no,artifact,0,0.226,0.512,0,0.0,323,,,-0.441,zero_or_undefined_baseline,
KIT-62501081,141,Tanzania,yes,double,1,0.121,0.387,0,0.0,323,,,2.27,zero_or_undefined_baseline,
KIT-62501087,271,Tanzania,yes,,0,0.065,0.271,0,0.0,323,,,-0.24,zero_or_undefined_baseline,
KTR-72502946,54,Tanzania,yes,,,,,,,,,,,no_data,no detection_results found for this sample
KTR-72502946,198,Tanzania,yes,,,,,,,,,,,no_data,no detection_results found for this sample
NKR-72502319,119,Tanzania,no,background,0,0.071,0.281,0,0.0,323,,,-0.254,same_slide_contamination;zero_or_undefined_baseline,
NKR-72502319,293,Tanzania,yes,,0,0.071,0.281,0,0.0,323,,,-0.254,same_slide_contamination;zero_or_undefined_baseline,
NKR-72502319,311,Tanzania,yes,,1,0.068,0.276,0,0.0,323,,,3.378,same_slide_contamination;zero_or_undefined_baseline,
RUB-62501332,133,Tanzania,yes,,4,0.269,0.533,0,0.0,323,,,6.996,zero_or_undefined_baseline,
RUB-62501389,284,Tanzania,yes,double,0,0.037,0.233,0,0.0,323,,,-0.159,zero_or_undefined_baseline,
RUB-62501518,315,Tanzania,no,background,0,0.174,0.412,0,0.0,321,,,-0.424,zero_or_undefined_baseline,
RUB-62501529,87,Tanzania,no,background,7,16.644,6.052,16,5.93,323,0.438,-1.518,-1.593,,
RUB-72501756,315,Tanzania,yes,,0,0.065,0.247,0,0.0,323,,,-0.263,zero_or_undefined_baseline,
PAT-070-3,34,Uganda,yes,double,43,64.616,15.525,66,13.343,505,0.652,-1.724,-1.392,,
PAT-072-1,14,Uganda,no,artifact,8,6.602,4.201,6,4.448,711,1.333,0.45,0.333,same_slide_contamination,
PAT-072-1,94,Uganda,no,artifact,4,6.608,4.2,6,4.448,711,0.667,-0.45,-0.621,same_slide_contamination,
PAT-154-1,478,Uganda,no,background,1,0.573,1.057,0.0,0.0,524,,,0.404,zero_or_undefined_baseline,
PBC-225_AM-1,30,Uganda,no,background,90,63.458,23.804,65.0,23.722,524,1.385,1.054,1.115,,
PBC-608-KH-1,171,Uganda,yes,,0,0.002,0.046,0.0,0.0,482,,,-0.046,zero_or_undefined_baseline,
PBC-800-1,128,Uganda,no,background,0,1.045,1.216,1.0,1.483,734,0.0,-0.674,-0.859,same_slide_contamination,
PBC-800-1,732,Uganda,no,background,1,1.044,1.216,1.0,1.483,734,1.0,0.0,-0.036,same_slide_contamination,
PAT-103-2,441,Uganda,no,background,61,39.083,25.66,45,34.1,575,1.356,0.469,0.854,,
PAT-112-2,124,Uganda,no,background,3,1.822,1.455,2.0,1.483,528,1.5,0.674,0.81,,
