slide_id,source,metric,model_version,n_fovs_on_slide,baseline_mean,baseline_std,baseline_median,baseline_mad,flags,no_data_reason
KIT-62500666,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,79.343,49.084,62.5,30.3933,mean_median_divergence,
KIT-62500668,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,135.537,64.367,121.0,59.304,,
KIT-62500670,tz_detection,n_spots_detected,v8_hardneg_single_t0.995,324,584.88,970.457,163.5,131.2101,mean_median_divergence,
KIT-62500672,annotation_bucket,n_spots_detected,,324,87.231,31.083,84.0,25.2042,,
KIT-62500679,annotation_bucket,n_spots_detected,,324,143.04,36.498,137.0,34.0998,,
KIT-62500680,annotation_bucket,n_spots_detected,,324,107.219,55.189,97.5,54.1149,,
KIT-62500684,annotation_bucket,n_spots_detected,,324,108.864,47.973,102.0,40.7715,,
KIT-62500686,annotation_bucket,n_spots_detected,,324,180.426,228.31,163.5,41.5128,,
KIT-62500687,annotation_bucket,n_spots_detected,,324,193.5,68.652,177.0,72.6474,,
KIT-62500689,annotation_bucket,n_spots_detected,,324,131.698,45.565,133.5,45.2193,,
KIT-62500690,annotation_bucket,n_spots_detected,,324,311.673,289.306,189.0,63.7518,mean_median_divergence,
KIT-62500691,annotation_bucket,n_spots_detected,,324,123.577,62.598,114.0,59.304,,
KIT-62500693,annotation_bucket,n_spots_detected,,324,127.83,51.695,116.5,34.8411,,
KIT-62500696,annotation_bucket,n_spots_detected,,324,261.049,130.447,215.0,94.8864,,
KIT-62500700,annotation_bucket,n_spots_detected,,324,220.043,101.826,186.5,50.4084,,
KIT-62500703,annotation_bucket,n_spots_detected,,324,377.744,96.132,360.0,78.5778,,
KIT-62500704,annotation_bucket,n_spots_detected,,324,275.114,99.941,271.0,87.4734,,
KIT-62500705,annotation_bucket,n_spots_detected,,324,375.833,83.045,378.0,84.5082,,
KIT-62500706,annotation_bucket,n_spots_detected,,324,311.938,93.395,290.0,89.6973,,
KIT-62500708,annotation_bucket,n_spots_detected,,324,210.244,70.02,191.5,39.2889,,
KIT-62500722,annotation_bucket,n_spots_detected,,324,476.154,89.278,464.0,69.6822,,
KIT-62500724,annotation_bucket,n_spots_detected,,324,269.071,104.345,245.0,94.1451,,
KIT-62500727,annotation_bucket,n_spots_detected,,324,314.781,294.076,264.0,97.8516,,
KIT-62500731,annotation_bucket,n_spots_detected,,324,271.127,151.828,260.0,82.2843,,
KIT-62500732,annotation_bucket,n_spots_detected,,324,614.917,383.848,490.5,198.6684,mean_median_divergence,
KIT-62500733,annotation_bucket,n_spots_detected,,324,161.361,64.482,150.0,45.9606,,
KIT-62500735,annotation_bucket,n_spots_detected,,324,153.238,52.771,146.5,39.2889,,
KIT-62500739,annotation_bucket,n_spots_detected,,324,318.602,429.882,271.0,54.8562,,
KIT-62500740,annotation_bucket,n_spots_detected,,324,339.91,158.425,315.0,121.5732,,
KIT-62500741,annotation_bucket,n_spots_detected,,324,283.105,86.839,277.0,71.1648,,
KIT-62500742,annotation_bucket,n_spots_detected,,324,256.83,68.077,248.5,51.1497,,
KIT-62500744,annotation_bucket,n_spots_detected,,324,413.426,161.108,397.0,114.9015,,
KIT-62500745,annotation_bucket,n_spots_detected,,324,1220.735,529.42,1251.0,555.975,,
KIT-62500746,annotation_bucket,n_spots_detected,,324,439.13,210.091,376.5,148.26,,
KIT-62500750,annotation_bucket,n_spots_detected,,324,241.142,63.71,229.0,53.3736,,
KIT-62500762,annotation_bucket,n_spots_detected,,324,179.954,60.319,170.0,40.0302,,
KIT-62500763,annotation_bucket,n_spots_detected,,324,836.321,274.935,805.0,234.2508,,
