fov_id,n_detected,ratio_to_median,robust_zscore
1,213,0.9726,-0.134898
2,191,0.8721,-0.629525
3,227,1.0365,0.179864
4,260,1.1872,0.921804
5,209,0.9543,-0.22483
6,172,0.7854,-1.056702
7,189,0.863,-0.674491
8,186,0.8493,-0.74194
9,205,0.9361,-0.314762
10,206,0.9406,-0.292279
11,299,1.3653,1.798642
12,262,1.1963,0.96677
13,219,1.0,0.0
14,230,1.0502,0.247313
15,229,1.0457,0.22483
16,255,1.1644,0.809389
17,215,0.9817,-0.089932
18,189,0.863,-0.674491
19,259,1.1826,0.899321
20,172,0.7854,-1.056702
21,200,0.9132,-0.427177
22,189,0.863,-0.674491
23,215,0.9817,-0.089932
24,165,0.7534,-1.214083
25,234,1.0685,0.337245
26,185,0.8447,-0.764423
27,190,0.8676,-0.652008
28,215,0.9817,-0.089932
29,176,0.8037,-0.96677
30,351,1.6027,2.967759
31,238,1.0868,0.427177
32,252,1.1507,0.74194
33,223,1.0183,0.089932
34,249,1.137,0.674491
35,164,0.7489,-1.236566
36,185,0.8447,-0.764423
37,226,1.032,0.157381
38,174,0.7945,-1.011736
39,264,1.2055,1.011736
40,233,1.0639,0.314762
41,170,0.7763,-1.101668
42,194,0.8858,-0.562076
43,191,0.8721,-0.629525
44,166,0.758,-1.1916
45,181,0.8265,-0.854355
46,163,0.7443,-1.259049
47,151,0.6895,-1.528846
48,208,0.9498,-0.247313
49,218,0.9954,-0.022483
50,230,1.0502,0.247313
51,289,1.3196,1.573812
52,274,1.2511,1.236566
53,237,1.0822,0.404694
54,153,0.6986,-1.48388
55,250,1.1416,0.696974
56,292,1.3333,1.641261
57,274,1.2511,1.236566
58,278,1.2694,1.326498
59,189,0.863,-0.674491
60,226,1.032,0.157381
61,195,0.8904,-0.539593
62,192,0.8767,-0.607042
63,186,0.8493,-0.74194
64,147,0.6712,-1.618778
65,175,0.7991,-0.989253
66,204,0.9315,-0.337245
67,161,0.7352,-1.304015
68,177,0.8082,-0.944287
69,209,0.9543,-0.22483
70,254,1.1598,0.786906
71,234,1.0685,0.337245
72,161,0.7352,-1.304015
73,222,1.0137,0.067449
74,213,0.9726,-0.134898
75,274,1.2511,1.236566
76,252,1.1507,0.74194
77,221,1.0091,0.044966
78,225,1.0274,0.134898
79,186,0.8493,-0.74194
80,160,0.7306,-1.326498
81,183,0.8356,-0.809389
82,151,0.6895,-1.528846
83,211,0.9635,-0.179864
84,155,0.7078,-1.438914
85,142,0.6484,-1.731193
86,172,0.7854,-1.056702
87,175,0.7991,-0.989253
88,222,1.0137,0.067449
89,194,0.8858,-0.562076
90,198,0.9041,-0.472144
91,212,0.968,-0.157381
92,255,1.1644,0.809389
93,230,1.0502,0.247313
94,172,0.7854,-1.056702
95,170,0.7763,-1.101668
96,195,0.8904,-0.539593
97,172,0.7854,-1.056702
98,173,0.79,-1.034219
99,175,0.7991,-0.989253
100,141,0.6438,-1.753676
101,161,0.7352,-1.304015
102,190,0.8676,-0.652008
103,171,0.7808,-1.079185
104,199,0.9087,-0.449661
105,187,0.8539,-0.719457
106,224,1.0228,0.112415
107,214,0.9772,-0.112415
108,199,0.9087,-0.449661
109,242,1.105,0.51711
110,222,1.0137,0.067449
111,227,1.0365,0.179864
112,215,0.9817,-0.089932
113,297,1.3562,1.753676
114,287,1.3105,1.528846
115,236,1.0776,0.382211
116,182,0.8311,-0.831872
117,188,0.8584,-0.696974
118,129,0.589,-2.023472
119,156,0.7123,-1.416431
120,171,0.7808,-1.079185
121,152,0.6941,-1.506363
122,222,1.0137,0.067449
123,195,0.8904,-0.539593
124,200,0.9132,-0.427177
125,184,0.8402,-0.786906
126,164,0.7489,-1.236566
127,294,1.3425,1.686227
128,252,1.1507,0.74194
129,301,1.3744,1.843608
130,291,1.3288,1.618778
131,318,1.4521,2.22582
132,311,1.4201,2.068438
133,221,1.0091,0.044966
134,219,1.0,0.0
135,162,0.7397,-1.281532
136,141,0.6438,-1.753676
137,198,0.9041,-0.472144
138,210,0.9589,-0.202347
139,200,0.9132,-0.427177
140,205,0.9361,-0.314762
141,224,1.0228,0.112415
142,226,1.032,0.157381
143,186,0.8493,-0.74194
144,174,0.7945,-1.011736
145,214,0.9772,-0.112415
146,183,0.8356,-0.809389
147,257,1.1735,0.854355
148,189,0.863,-0.674491
149,232,1.0594,0.292279
150,221,1.0091,0.044966
151,197,0.8995,-0.494627
152,168,0.7671,-1.146634
153,159,0.726,-1.348982
154,142,0.6484,-1.731193
155,238,1.0868,0.427177
156,163,0.7443,-1.259049
157,164,0.7489,-1.236566
158,206,0.9406,-0.292279
159,248,1.1324,0.652008
160,222,1.0137,0.067449
161,164,0.7489,-1.236566
162,205,0.9361,-0.314762
163,258,1.1781,0.876838
164,252,1.1507,0.74194
165,296,1.3516,1.731193
166,241,1.1005,0.494627
167,267,1.2192,1.079185
168,242,1.105,0.51711
169,232,1.0594,0.292279
170,214,0.9772,-0.112415
171,245,1.1187,0.584559
172,250,1.1416,0.696974
