fov_id,n_detected,ratio_to_median,robust_zscore
1,139,1.0945,0.238056
2,88,0.6929,-0.773681
3,106,0.8346,-0.416597
4,158,1.2441,0.614977
5,109,0.8583,-0.357083
6,177,1.3937,0.991898
7,119,0.937,-0.158704
8,150,1.1811,0.456273
9,148,1.1654,0.416597
10,164,1.2913,0.734005
11,115,0.9055,-0.238056
12,128,1.0079,0.019838
13,161,1.2677,0.674491
14,94,0.7402,-0.654653
15,72,0.5669,-1.091088
16,109,0.8583,-0.357083
17,71,0.5591,-1.110926
18,63,0.4961,-1.26963
19,126,0.9921,-0.019838
20,86,0.6772,-0.813357
21,118,0.9291,-0.178542
22,130,1.0236,0.059514
23,131,1.0315,0.079352
24,166,1.3071,0.773681
25,91,0.7165,-0.714167
26,148,1.1654,0.416597
27,133,1.0472,0.119028
28,160,1.2598,0.654653
29,102,0.8031,-0.495949
30,136,1.0709,0.178542
31,139,1.0945,0.238056
32,85,0.6693,-0.833194
33,80,0.6299,-0.932384
34,103,0.811,-0.476111
35,79,0.622,-0.952222
36,53,0.4173,-1.468009
37,138,1.0866,0.218218
38,100,0.7874,-0.535625
39,142,1.1181,0.297569
40,140,1.1024,0.257894
41,116,0.9134,-0.218218
42,225,1.7717,1.94412
43,109,0.8583,-0.357083
44,160,1.2598,0.654653
45,104,0.8189,-0.456273
46,141,1.1102,0.277731
47,122,0.9606,-0.09919
48,116,0.9134,-0.218218
49,89,0.7008,-0.753843
50,77,0.6063,-0.991898
51,77,0.6063,-0.991898
52,62,0.4882,-1.289468
53,71,0.5591,-1.110926
54,66,0.5197,-1.210116
55,128,1.0079,0.019838
56,113,0.8898,-0.277731
57,139,1.0945,0.238056
58,124,0.9764,-0.059514
59,105,0.8268,-0.436435
60,143,1.126,0.317407
61,91,0.7165,-0.714167
62,124,0.9764,-0.059514
63,126,0.9921,-0.019838
64,175,1.378,0.952222
65,87,0.685,-0.793519
66,115,0.9055,-0.238056
67,115,0.9055,-0.238056
68,95,0.748,-0.634815
69,71,0.5591,-1.110926
70,88,0.6929,-0.773681
71,38,0.2992,-1.765579
72,86,0.6772,-0.813357
73,131,1.0315,0.079352
74,139,1.0945,0.238056
75,133,1.0472,0.119028
76,117,0.9213,-0.19838
77,86,0.6772,-0.813357
78,172,1.3543,0.892708
79,88,0.6929,-0.773681
80,148,1.1654,0.416597
81,155,1.2205,0.555463
82,144,1.1339,0.337245
83,113,0.8898,-0.277731
84,122,0.9606,-0.09919
85,153,1.2047,0.515787
86,82,0.6457,-0.892708
87,78,0.6142,-0.97206
88,68,0.5354,-1.17044
89,73,0.5748,-1.07125
90,92,0.7244,-0.694329
91,177,1.3937,0.991898
92,141,1.1102,0.277731
93,168,1.3228,0.813357
94,132,1.0394,0.09919
95,153,1.2047,0.515787
96,212,1.6693,1.686227
97,125,0.9843,-0.039676
98,170,1.3386,0.853032
99,203,1.5984,1.507685
100,120,0.9449,-0.138866
101,106,0.8346,-0.416597
102,95,0.748,-0.634815
103,139,1.0945,0.238056
104,100,0.7874,-0.535625
105,80,0.6299,-0.932384
106,94,0.7402,-0.654653
107,63,0.4961,-1.26963
108,65,0.5118,-1.229954
109,153,1.2047,0.515787
110,135,1.063,0.158704
111,152,1.1969,0.495949
112,110,0.8661,-0.337245
113,119,0.937,-0.158704
114,226,1.7795,1.963958
115,137,1.0787,0.19838
