fov_id,n_detected,ratio_to_median,robust_zscore
1,116,1.7444,1.804719
2,83,1.2481,0.601573
3,74,1.1128,0.273442
4,187,2.812,4.393305
5,137,2.0602,2.570357
6,93,1.3985,0.966162
7,109,1.6391,1.549506
8,116,1.7444,1.804719
9,90,1.3534,0.856786
10,89,1.3383,0.820327
11,108,1.6241,1.513047
12,70,1.0526,0.127606
13,70,1.0526,0.127606
14,80,1.203,0.492196
15,100,1.5038,1.221375
16,91,1.3684,0.893245
17,33,0.4962,-1.221375
18,51,0.7669,-0.565114
19,94,1.4135,1.002621
20,68,1.0226,0.054688
21,70,1.0526,0.127606
22,105,1.5789,1.40367
23,132,1.985,2.388062
24,69,1.0376,0.091147
25,111,1.6692,1.622424
26,54,0.812,-0.455737
27,76,1.1429,0.34636
28,64,0.9624,-0.091147
29,64,0.9624,-0.091147
30,45,0.6767,-0.783868
31,41,0.6165,-0.929703
32,106,1.594,1.440129
33,79,1.188,0.455737
34,111,1.6692,1.622424
35,70,1.0526,0.127606
36,82,1.2331,0.565114
37,80,1.203,0.492196
38,88,1.3233,0.783868
39,58,0.8722,-0.309901
40,66,0.9925,-0.018229
41,98,1.4737,1.148457
42,76,1.1429,0.34636
43,129,1.9398,2.278685
44,61,0.9173,-0.200524
45,93,1.3985,0.966162
46,64,0.9624,-0.091147
47,62,0.9323,-0.164065
48,90,1.3534,0.856786
49,46,0.6917,-0.747409
50,55,0.8271,-0.419278
51,74,1.1128,0.273442
52,97,1.4586,1.111998
53,172,2.5865,3.84642
54,43,0.6466,-0.856786
55,66,0.9925,-0.018229
56,64,0.9624,-0.091147
57,61,0.9173,-0.200524
58,64,0.9624,-0.091147
59,73,1.0977,0.236983
60,62,0.9323,-0.164065
61,142,2.1353,2.752651
62,54,0.812,-0.455737
63,63,0.9474,-0.127606
64,52,0.782,-0.528655
65,59,0.8872,-0.273442
66,62,0.9323,-0.164065
67,44,0.6617,-0.820327
68,61,0.9173,-0.200524
69,47,0.7068,-0.71095
70,84,1.2632,0.638032
71,69,1.0376,0.091147
72,51,0.7669,-0.565114
73,49,0.7368,-0.638032
74,56,0.8421,-0.382819
75,59,0.8872,-0.273442
76,62,0.9323,-0.164065
77,53,0.797,-0.492196
78,61,0.9173,-0.200524
79,129,1.9398,2.278685
80,58,0.8722,-0.309901
81,45,0.6767,-0.783868
82,57,0.8571,-0.34636
83,69,1.0376,0.091147
84,44,0.6617,-0.820327
85,57,0.8571,-0.34636
86,71,1.0677,0.164065
87,53,0.797,-0.492196
88,72,1.0827,0.200524
89,58,0.8722,-0.309901
90,42,0.6316,-0.893245
91,44,0.6617,-0.820327
92,57,0.8571,-0.34636
93,35,0.5263,-1.148457
94,58,0.8722,-0.309901
95,59,0.8872,-0.273442
96,78,1.1729,0.419278
97,68,1.0226,0.054688
98,60,0.9023,-0.236983
99,45,0.6767,-0.783868
100,50,0.7519,-0.601573
101,31,0.4662,-1.294293
102,50,0.7519,-0.601573
103,42,0.6316,-0.893245
104,44,0.6617,-0.820327
105,97,1.4586,1.111998
106,72,1.0827,0.200524
107,76,1.1429,0.34636
108,46,0.6917,-0.747409
109,48,0.7218,-0.674491
110,43,0.6466,-0.856786
111,46,0.6917,-0.747409
112,1039,15.6241,35.456339
113,170,2.5564,3.773502
114,79,1.188,0.455737
115,133,2.0,2.424521
116,86,1.2932,0.71095
117,122,1.8346,2.023472
118,399,6.0,12.122604
119,72,1.0827,0.200524
120,75,1.1278,0.309901
121,58,0.8722,-0.309901
122,41,0.6165,-0.929703
123,75,1.1278,0.309901
124,59,0.8872,-0.273442
125,56,0.8421,-0.382819
126,48,0.7218,-0.674491
127,55,0.8271,-0.419278
128,44,0.6617,-0.820327
129,67,1.0075,0.018229
130,78,1.1729,0.419278
131,90,1.3534,0.856786
132,87,1.3083,0.747409
133,134,2.015,2.46098
134,165,2.4812,3.591208
135,60,0.9023,-0.236983
136,54,0.812,-0.455737
137,75,1.1278,0.309901
138,54,0.812,-0.455737
139,61,0.9173,-0.200524
140,51,0.7669,-0.565114
141,61,0.9173,-0.200524
142,66,0.9925,-0.018229
143,58,0.8722,-0.309901
144,41,0.6165,-0.929703
145,32,0.4812,-1.257834
146,45,0.6767,-0.783868
147,31,0.4662,-1.294293
148,83,1.2481,0.601573
149,90,1.3534,0.856786
150,82,1.2331,0.565114
151,138,2.0752,2.606816
152,220,3.3083,5.59645
153,139,2.0902,2.643275
154,49,0.7368,-0.638032
155,40,0.6015,-0.966162
156,50,0.7519,-0.601573
157,47,0.7068,-0.71095
158,78,1.1729,0.419278
159,67,1.0075,0.018229
160,61,0.9173,-0.200524
161,75,1.1278,0.309901
162,40,0.6015,-0.966162
163,54,0.812,-0.455737
164,59,0.8872,-0.273442
165,52,0.782,-0.528655
166,82,1.2331,0.565114
167,99,1.4887,1.184916
168,108,1.6241,1.513047
169,207,3.1128,5.122484
170,175,2.6316,3.955797
171,159,2.391,3.372454
172,125,1.8797,2.132849
173,53,0.797,-0.492196
174,54,0.812,-0.455737
175,45,0.6767,-0.783868
176,143,2.1504,2.78911
177,192,2.8872,4.575599
178,108,1.6241,1.513047
179,53,0.797,-0.492196
180,64,0.9624,-0.091147
181,27,0.406,-1.440129
182,28,0.4211,-1.40367
183,55,0.8271,-0.419278
184,58,0.8722,-0.309901
185,51,0.7669,-0.565114
186,55,0.8271,-0.419278
187,142,2.1353,2.752651
188,176,2.6466,3.992256
189,135,2.0301,2.497439
190,113,1.6992,1.695342
191,96,1.4436,1.075539
192,60,0.9023,-0.236983
193,64,0.9624,-0.091147
194,35,0.5263,-1.148457
195,59,0.8872,-0.273442
196,59,0.8872,-0.273442
197,49,0.7368,-0.638032
198,38,0.5714,-1.03908
199,28,0.4211,-1.40367
200,48,0.7218,-0.674491
201,52,0.782,-0.528655
