fov_id,n_detected,ratio_to_median,robust_zscore
1,94,0.7121,-0.466012
2,69,0.5227,-0.772599
3,93,0.7045,-0.478275
4,109,0.8258,-0.28206
5,97,0.7348,-0.429221
6,135,1.0227,0.03679
7,180,1.3636,0.588646
8,245,1.8561,1.385772
9,214,1.6212,1.005604
10,189,1.4318,0.699018
11,174,1.3182,0.515066
12,279,2.1136,1.80273
13,268,2.0303,1.667832
14,264,2.0,1.618778
15,300,2.2727,2.060263
16,398,3.0152,3.262083
17,306,2.3182,2.133843
18,397,3.0076,3.249819
19,83,0.6288,-0.60091
20,111,0.8409,-0.257533
21,131,0.9924,-0.012263
22,145,1.0985,0.159425
23,100,0.7576,-0.392431
24,132,1.0,0.0
25,167,1.2652,0.429221
26,225,1.7045,1.140503
27,217,1.6439,1.042395
28,190,1.4394,0.711281
29,199,1.5076,0.821652
30,255,1.9318,1.508407
31,254,1.9242,1.496143
32,283,2.1439,1.851784
33,291,2.2045,1.949891
34,311,2.3561,2.195161
35,338,2.5606,2.526274
36,348,2.6364,2.648909
37,57,0.4318,-0.91976
38,176,1.3333,0.539593
39,80,0.6061,-0.6377
40,104,0.7879,-0.343377
41,101,0.7652,-0.380168
42,93,0.7045,-0.478275
43,163,1.2348,0.380168
44,166,1.2576,0.416958
45,171,1.2955,0.478275
46,303,2.2955,2.097053
47,220,1.6667,1.079185
48,149,1.1288,0.208479
49,208,1.5758,0.932024
50,322,2.4394,2.330059
51,264,2.0,1.618778
52,262,1.9848,1.594251
53,272,2.0606,1.716886
54,326,2.4697,2.379113
55,57,0.4318,-0.91976
56,79,0.5985,-0.649964
57,80,0.6061,-0.6377
58,147,1.1136,0.183952
59,164,1.2424,0.392431
60,163,1.2348,0.380168
61,176,1.3333,0.539593
62,183,1.3864,0.625437
63,192,1.4545,0.735808
64,213,1.6136,0.993341
65,163,1.2348,0.380168
66,203,1.5379,0.870706
67,219,1.6591,1.066922
68,208,1.5758,0.932024
69,238,1.803,1.299928
70,252,1.9091,1.471616
71,401,3.0379,3.298873
72,283,2.1439,1.851784
73,87,0.6591,-0.551856
74,88,0.6667,-0.539593
75,78,0.5909,-0.662227
76,93,0.7045,-0.478275
77,116,0.8788,-0.196215
78,128,0.9697,-0.049054
79,133,1.0076,0.012263
80,345,2.6136,2.612119
81,226,1.7121,1.152766
82,193,1.4621,0.748072
83,228,1.7273,1.177293
84,250,1.8939,1.447089
85,445,3.3712,3.838466
86,243,1.8409,1.361245
87,359,2.7197,2.783807
88,272,2.0606,1.716886
89,419,3.1742,3.519615
90,301,2.2803,2.072526
91,79,0.5985,-0.649964
92,82,0.6212,-0.613173
93,70,0.5303,-0.760335
94,97,0.7348,-0.429221
95,81,0.6136,-0.625437
96,111,0.8409,-0.257533
97,129,0.9773,-0.03679
98,170,1.2879,0.466012
99,292,2.2121,1.962155
100,226,1.7121,1.152766
101,203,1.5379,0.870706
102,173,1.3106,0.502802
103,325,2.4621,2.366849
104,348,2.6364,2.648909
105,164,1.2424,0.392431
106,257,1.947,1.532934
107,282,2.1364,1.83952
108,310,2.3485,2.182897
109,83,0.6288,-0.60091
110,77,0.5833,-0.674491
111,89,0.6742,-0.527329
112,87,0.6591,-0.551856
113,128,0.9697,-0.049054
114,155,1.1742,0.28206
115,159,1.2045,0.331114
116,204,1.5455,0.88297
117,211,1.5985,0.968814
118,201,1.5227,0.846179
119,160,1.2121,0.343377
120,206,1.5606,0.907497
121,262,1.9848,1.594251
122,158,1.197,0.31885
123,133,1.0076,0.012263
124,250,1.8939,1.447089
125,284,2.1515,1.864047
126,239,1.8106,1.312191
127,91,0.6894,-0.502802
128,107,0.8106,-0.306587
129,150,1.1364,0.220742
130,78,0.5909,-0.662227
131,98,0.7424,-0.416958
132,125,0.947,-0.085844
133,153,1.1591,0.257533
134,207,1.5682,0.91976
135,150,1.1364,0.220742
136,175,1.3258,0.527329
137,174,1.3182,0.515066
138,202,1.5303,0.858443
139,187,1.4167,0.674491
140,259,1.9621,1.55746
141,161,1.2197,0.355641
142,226,1.7121,1.152766
143,209,1.5833,0.944287
144,244,1.8485,1.373508
145,77,0.5833,-0.674491
146,70,0.5303,-0.760335
147,127,0.9621,-0.061317
148,102,0.7727,-0.367904
149,113,0.8561,-0.233006
150,110,0.8333,-0.269796
151,177,1.3409,0.551856
152,200,1.5152,0.833916
153,158,1.197,0.31885
154,308,2.3333,2.15837
155,164,1.2424,0.392431
156,204,1.5455,0.88297
157,184,1.3939,0.6377
158,154,1.1667,0.269796
159,156,1.1818,0.294323
160,191,1.447,0.723545
161,220,1.6667,1.079185
162,241,1.8258,1.336718
163,50,0.3788,-1.005604
164,70,0.5303,-0.760335
165,90,0.6818,-0.515066
166,99,0.75,-0.404694
167,112,0.8485,-0.245269
168,66,0.5,-0.809389
169,97,0.7348,-0.429221
170,126,0.9545,-0.073581
171,161,1.2197,0.355641
172,190,1.4394,0.711281
173,175,1.3258,0.527329
174,157,1.1894,0.306587
175,267,2.0227,1.655568
176,171,1.2955,0.478275
177,100,0.7576,-0.392431
178,160,1.2121,0.343377
179,255,1.9318,1.508407
180,281,2.1288,1.827257
181,73,0.553,-0.723545
182,73,0.553,-0.723545
183,54,0.4091,-0.956551
184,63,0.4773,-0.846179
185,75,0.5682,-0.699018
186,78,0.5909,-0.662227
187,80,0.6061,-0.6377
188,102,0.7727,-0.367904
189,84,0.6364,-0.588646
190,132,1.0,0.0
191,180,1.3636,0.588646
192,192,1.4545,0.735808
193,192,1.4545,0.735808
194,68,0.5152,-0.784862
195,69,0.5227,-0.772599
196,108,0.8182,-0.294323
197,235,1.7803,1.263137
198,318,2.4091,2.281005
199,73,0.553,-0.723545
200,69,0.5227,-0.772599
201,60,0.4545,-0.88297
202,64,0.4848,-0.833916
203,64,0.4848,-0.833916
204,115,0.8712,-0.208479
205,94,0.7121,-0.466012
206,125,0.947,-0.085844
207,115,0.8712,-0.208479
208,101,0.7652,-0.380168
209,148,1.1212,0.196215
210,367,2.7803,2.881915
211,124,0.9394,-0.098108
212,212,1.6061,0.981077
213,97,0.7348,-0.429221
214,138,1.0455,0.073581
215,220,1.6667,1.079185
216,260,1.9697,1.569724
217,80,0.6061,-0.6377
218,60,0.4545,-0.88297
219,60,0.4545,-0.88297
220,63,0.4773,-0.846179
221,88,0.6667,-0.539593
222,91,0.6894,-0.502802
223,94,0.7121,-0.466012
224,107,0.8106,-0.306587
225,91,0.6894,-0.502802
226,90,0.6818,-0.515066
227,128,0.9697,-0.049054
228,531,4.0227,4.893124
229,239,1.8106,1.312191
230,197,1.4924,0.797125
231,80,0.6061,-0.6377
232,89,0.6742,-0.527329
233,231,1.75,1.214083
234,251,1.9015,1.459353
235,46,0.3485,-1.054658
236,44,0.3333,-1.079185
237,84,0.6364,-0.588646
238,58,0.4394,-0.907497
239,64,0.4848,-0.833916
240,67,0.5076,-0.797125
241,111,0.8409,-0.257533
242,137,1.0379,0.061317
243,149,1.1288,0.208479
244,373,2.8258,2.955496
245,191,1.447,0.723545
246,194,1.4697,0.760335
247,208,1.5758,0.932024
248,73,0.553,-0.723545
249,68,0.5152,-0.784862
250,103,0.7803,-0.355641
251,229,1.7348,1.189556
252,219,1.6591,1.066922
253,46,0.3485,-1.054658
254,62,0.4697,-0.858443
255,51,0.3864,-0.993341
256,53,0.4015,-0.968814
257,136,1.0303,0.049054
258,45,0.3409,-1.066922
259,51,0.3864,-0.993341
260,84,0.6364,-0.588646
261,96,0.7273,-0.441485
262,162,1.2273,0.367904
263,146,1.1061,0.171689
264,174,1.3182,0.515066
265,111,0.8409,-0.257533
266,67,0.5076,-0.797125
267,195,1.4773,0.772599
268,171,1.2955,0.478275
269,133,1.0076,0.012263
270,120,0.9091,-0.147162
271,62,0.4697,-0.858443
272,81,0.6136,-0.625437
273,34,0.2576,-1.20182
274,53,0.4015,-0.968814
275,47,0.3561,-1.042395
276,47,0.3561,-1.042395
277,25,0.1894,-1.312191
278,49,0.3712,-1.017868
279,84,0.6364,-0.588646
280,88,0.6667,-0.539593
281,81,0.6136,-0.625437
282,90,0.6818,-0.515066
283,102,0.7727,-0.367904
284,61,0.4621,-0.870706
285,86,0.6515,-0.56412
286,115,0.8712,-0.208479
287,148,1.1212,0.196215
288,103,0.7803,-0.355641
289,82,0.6212,-0.613173
290,54,0.4091,-0.956551
291,46,0.3485,-1.054658
292,33,0.25,-1.214083
293,67,0.5076,-0.797125
294,53,0.4015,-0.968814
295,32,0.2424,-1.226347
296,69,0.5227,-0.772599
297,146,1.1061,0.171689
298,99,0.75,-0.404694
299,73,0.553,-0.723545
300,120,0.9091,-0.147162
301,125,0.947,-0.085844
302,65,0.4924,-0.821652
303,96,0.7273,-0.441485
304,94,0.7121,-0.466012
305,171,1.2955,0.478275
306,146,1.1061,0.171689
307,81,0.6136,-0.625437
308,86,0.6515,-0.56412
309,51,0.3864,-0.993341
310,36,0.2727,-1.177293
311,40,0.303,-1.128239
312,36,0.2727,-1.177293
313,59,0.447,-0.895233
314,109,0.8258,-0.28206
315,84,0.6364,-0.588646
316,82,0.6212,-0.613173
317,167,1.2652,0.429221
318,122,0.9242,-0.122635
319,141,1.0682,0.110371
320,76,0.5758,-0.686754
321,100,0.7576,-0.392431
322,122,0.9242,-0.122635
323,117,0.8864,-0.183952
324,131,0.9924,-0.012263
