fov_id,present,present_folded,diffuse_halo_flag,confidence,contrast_ratio,baseline,peak,area_fraction,solidity,anisotropy,radial_rho,r2_over_r1,diffuse_radius,diffuse_circularity,diffuse_centroid_x,diffuse_centroid_y,error
1,False,False,False,0,1.4474,19.9116,28.8191,0.6069,0.9478,0,0,0,0,0,0,0,
2,False,False,False,0,1.4511,20.0518,29.0978,0.6962,0.8348,0,0,0,0,0,0,0,
3,False,False,False,0,1.4103,21.0694,29.7146,0.645,0.9112,0,0,0,0,0,0,0,
4,False,False,False,0,1.3509,20.5602,27.7758,0.501,0.9519,0,0,0,0,0,0,0,
5,False,False,False,0,1.3449,18.3289,24.6503,0.7747,0.9262,0,0,0,0,0,0,0,
6,False,False,False,0,1.2322,19.3314,23.8209,0.6644,0.8976,0,0,0,0,0,0,0,
7,False,False,False,0,1.3446,17.5259,23.566,0.7439,0.9521,0,0,0,0,0,0,0,
8,False,False,False,0,1.319,17.3262,22.8526,0.771,0.9695,0,0,0,0,0,0,0,
9,False,False,False,0,1.3331,17.118,22.8207,0.7899,0.9725,0,0,0,0,0,0,0,
10,False,False,False,0,1.3056,17.7956,23.2342,0.7717,0.9684,0,0,0,0,0,0,0,
11,False,False,False,0,1.3021,18.1317,23.6095,0.7636,0.984,0,0,0,0,0,0,0,
12,False,False,False,0,1.332,19.1644,25.5266,0.7518,0.9667,0,0,0,0,0,0,0,
13,False,False,False,0,1.9417,19.5821,38.0236,0.1034,0.9917,0,0,0,0,0,0,0,
14,False,False,False,0,1.3282,19.8722,26.3936,0.7805,0.9776,0,0,0,0,0,0,0,
15,False,False,False,0,1.3933,20.2149,28.1653,0.7601,0.9729,0,0,0,0,0,0,0,
16,False,False,False,0,1.2777,20.3175,25.9596,0.8107,0.9331,0,0,0,0,0,0,0,
17,False,False,False,0,1.3042,19.4112,25.3162,0.7605,0.9431,0,0,0,0,0,0,0,
18,False,False,False,0,1.3399,19.2014,25.7278,0.6753,0.9572,0,0,0,0,0,0,0,
19,False,False,False,0,1.2949,21.3581,27.6568,0.6456,0.9278,0,0,0,0,0,0,0,
20,False,False,False,0,1.2319,21.0449,25.9249,0.7026,0.8973,0,0,0,0,0,0,0,
21,False,False,False,0,1.4115,20.7432,29.2795,0.6727,0.9612,0,0,0,0,0,0,0,
22,False,False,False,0,1.3494,20.2155,27.2778,0.5929,0.9334,0,0,0,0,0,0,0,
23,False,False,False,0,1.3117,19.4274,25.4833,0.6998,0.9585,0,0,0,0,0,0,0,
24,False,False,False,0,1.3355,19.638,26.2264,0.6639,0.9104,0,0,0,0,0,0,0,
25,False,False,False,0,1.2671,18.4507,23.3788,0.7284,0.9512,0,0,0,0,0,0,0,
26,False,False,False,0,1.2572,17.499,21.9995,0.7996,0.9503,0,0,0,0,0,0,0,
27,False,False,False,0,1.4151,17.4816,24.7381,0.6919,0.9656,0,0,0,0,0,0,0,
28,False,False,False,0,1.3293,17.6725,23.492,0.7206,0.9494,0,0,0,0,0,0,0,
29,False,False,False,0,1.3474,18.4237,24.8244,0.7617,0.986,0,0,0,0,0,0,0,
30,False,False,False,0,1.2532,19.9406,24.9892,0.7834,0.9609,0,0,0,0,0,0,0,
31,False,False,False,0,1.3512,19.7921,26.7428,0.7084,0.9786,0,0,0,0,0,0,0,
32,False,False,False,0,1.3795,19.2839,26.6023,0.7358,0.9704,0,0,0,0,0,0,0,
33,False,False,False,0,1.3279,19.6308,26.0685,0.7466,0.9775,0,0,0,0,0,0,0,
34,False,False,False,0,1.337,19.5965,26.2006,0.6273,0.9209,0,0,0,0,0,0,0,
35,False,False,False,0,1.257,18.422,23.1572,0.7307,0.9562,0,0,0,0,0,0,0,
36,False,False,False,0,1.3529,18.3047,24.7645,0.7467,0.9787,0,0,0,0,0,0,0,
37,False,False,False,0,1.4055,18.8688,26.5209,0.6012,0.8547,0,0,0,0,0,0,0,
38,False,False,False,0,1.4026,19.0803,26.7626,0.657,0.8296,0,0,0,0,0,0,0,
39,False,False,False,0,1.3489,19.2422,25.956,0.6526,0.8442,0,0,0,0,0,0,0,
40,False,False,False,0,1.3791,17.7511,24.4806,0.7013,0.9251,0,0,0,0,0,0,0,
41,False,False,False,0,1.3987,17.8947,25.0299,0.5597,0.9461,0,0,0,0,0,0,0,
42,False,False,False,0,1.648,17.5764,28.9654,0.3434,0.975,0,0,0,0,0,0,0,
43,False,False,False,0,1.3293,16.5851,22.0465,0.6471,0.9131,0,0,0,0,0,0,0,
44,False,False,False,0,1.3482,15.6625,21.1161,0.7652,0.9668,0,0,0,0,0,0,0,
45,False,False,False,0,1.2818,17.2866,22.1584,0.7654,0.9649,0,0,0,0,0,0,0,
46,False,False,False,0,1.3454,17.2323,23.1844,0.7327,0.9709,0,0,0,0,0,0,0,
47,False,False,False,0,1.4099,17.5779,24.783,0.7656,0.9759,0,0,0,0,0,0,0,
48,False,False,False,0,1.33,18.8547,25.0765,0.7182,0.9601,0,0,0,0,0,0,0,
49,False,False,False,0,1.2997,18.3225,23.813,0.7818,0.9629,0,0,0,0,0,0,0,
50,False,False,False,0,1.326,17.9846,23.8474,0.7746,0.9876,0,0,0,0,0,0,0,
51,False,False,False,0,1.3096,18.2372,23.8825,0.7535,0.9919,0,0,0,0,0,0,0,
52,False,False,False,0,1.2668,17.6574,22.3677,0.7886,0.9854,0,0,0,0,0,0,0,
53,False,False,False,0,1.2207,17.7199,21.6302,0.6983,0.9551,0,0,0,0,0,0,0,
54,False,False,False,0,1.4564,16.2287,23.6349,0.7011,0.9887,0,0,0,0,0,0,0,
55,False,False,False,0,1.5258,17.7445,27.0745,0.5786,0.9575,0,0,0,0,0,0,0,
56,False,False,False,0,1.3952,19.1767,26.7563,0.7951,0.9599,0,0,0,0,0,0,0,
57,False,False,False,0,1.4463,20.1991,29.213,0.509,0.9665,0,0,0,0,0,0,0,
58,False,False,False,0,1.3246,19.1191,25.325,0.7348,0.9123,0,0,0,0,0,0,0,
59,False,False,False,0,1.2746,18.4223,23.4809,0.6544,0.9016,0,0,0,0,0,0,0,
60,False,False,False,0,1.3904,16.6481,23.1478,0.7615,0.9818,0,0,0,0,0,0,0,
61,False,False,False,0,1.3142,17.6348,23.1759,0.6625,0.9652,0,0,0,0,0,0,0,
62,False,False,False,0,1.5693,16.6787,26.1739,0.4755,0.7465,0,0,0,0,0,0,0,
63,False,False,False,0,1.4482,16.7755,24.295,0.697,0.9825,0,0,0,0,0,0,0,
64,False,False,False,0,1.403,18.1053,25.4019,0.7402,0.9926,0,0,0,0,0,0,0,
65,False,False,False,0,1.5647,18.6414,29.1684,0.5642,0.9209,0,0,0,0,0,0,0,
66,False,False,False,0,1.3477,19.4735,26.2446,0.6749,0.9325,0,0,0,0,0,0,0,
67,False,False,False,0,1.4087,18.3344,25.8274,0.7285,0.9691,0,0,0,0,0,0,0,
68,False,False,False,0,1.3966,18.8241,26.2898,0.5891,0.9353,0,0,0,0,0,0,0,
69,False,False,False,0,1.5037,18.2642,27.4634,0.6655,0.9442,0,0,0,0,0,0,0,
70,False,False,False,0,1.3637,17.909,24.422,0.7033,0.9711,0,0,0,0,0,0,0,
71,False,False,False,0,1.3511,17.3269,23.41,0.6584,0.9576,0,0,0,0,0,0,0,
72,False,False,False,0,1.3289,16.729,22.2315,0.7414,0.9262,0,0,0,0,0,0,0,
73,False,False,False,0,1.3866,18.0437,25.0188,0.7595,0.9757,0,0,0,0,0,0,0,
74,False,False,False,0,1.3341,19.2177,25.6374,0.7606,0.9593,0,0,0,0,0,0,0,
75,False,False,False,0,1.3217,19.2256,25.4112,0.7205,0.9355,0,0,0,0,0,0,0,
76,False,False,False,0,1.3875,18.8665,26.1766,0.7192,0.9348,0,0,0,0,0,0,0,
77,False,False,False,0,1.3119,18.4569,24.2132,0.7288,0.9319,0,0,0,0,0,0,0,
78,False,False,False,0,1.3832,16.7778,23.2063,0.7425,0.9125,0,0,0,0,0,0,0,
79,False,False,False,0,1.2408,17.1621,21.2945,0.752,0.956,0,0,0,0,0,0,0,
80,False,False,False,0,1.2938,16.3741,21.1844,0.7579,0.9653,0,0,0,0,0,0,0,
81,False,False,False,0,1.3547,16.6861,22.6053,0.7873,0.9837,0,0,0,0,0,0,0,
82,False,False,False,0,1.3269,17.6686,23.4436,0.7809,0.9832,0,0,0,0,0,0,0,
83,False,False,False,0,1.3553,17.937,24.3101,0.7376,0.9683,0,0,0,0,0,0,0,
84,False,False,False,0,1.2611,18.7833,23.6879,0.7982,0.9485,0,0,0,0,0,0,0,
85,False,False,False,0,1.3117,18.5187,24.2909,0.6999,0.9728,0,0,0,0,0,0,0,
86,False,False,False,0,1.3603,18.2765,24.8619,0.7076,0.912,0,0,0,0,0,0,0,
87,False,False,False,0,1.3051,18.7959,24.5312,0.7539,0.9666,0,0,0,0,0,0,0,
88,False,False,False,0,1.3223,17.8882,23.6538,0.7533,0.9846,0,0,0,0,0,0,0,
89,False,False,False,0,1.4419,16.9945,24.5041,0.6787,0.9701,0,0,0,0,0,0,0,
90,False,False,False,0,1.3217,17.1493,22.6656,0.7989,0.9604,0,0,0,0,0,0,0,
91,False,False,False,0,1.391,19.5899,27.2503,0.7877,0.9463,0,0,0,0,0,0,0,
92,False,False,False,0,1.4017,19.9841,28.0108,0.6763,0.9792,0,0,0,0,0,0,0,
93,False,False,False,0,1.3545,18.8928,25.5904,0.7063,0.9384,0,0,0,0,0,0,0,
94,False,False,False,0,1.3124,19.0843,25.0465,0.7443,0.9644,0,0,0,0,0,0,0,
95,False,False,False,0,1.4845,18.978,28.1735,0.692,0.9226,0,0,0,0,0,0,0,
96,False,False,False,0,1.2846,17.6242,22.6399,0.7036,0.9345,0,0,0,0,0,0,0,
97,False,False,False,0,1.4438,16.7472,24.1801,0.7097,0.9746,0,0,0,0,0,0,0,
98,False,False,False,0,1.3497,17.9598,24.2407,0.7186,0.9315,0,0,0,0,0,0,0,
99,False,False,False,0,1.4123,18.4059,25.9955,0.6706,0.9259,0,0,0,0,0,0,0,
100,False,False,False,0,1.3221,18.8011,24.857,0.7247,0.9609,0,0,0,0,0,0,0,
101,False,False,False,0,1.379,18.6579,25.7301,0.7459,0.9351,0,0,0,0,0,0,0,
102,False,False,False,0,1.2821,20.1111,25.7841,0.7115,0.9253,0,0,0,0,0,0,0,
103,False,False,False,0,1.4004,19.1793,26.8592,0.7129,0.9785,0,0,0,0,0,0,0,
104,False,False,False,0,1.5576,19.4034,30.2227,0.6057,0.9011,0,0,0,0,0,0,0,
105,False,False,False,0,1.4131,20.1018,28.4056,0.6434,0.9442,0,0,0,0,0,0,0,
106,False,False,False,0,1.3048,19.4562,25.3872,0.7315,0.9314,0,0,0,0,0,0,0,
107,False,False,False,0,1.5675,19.0885,29.9212,0.6506,0.8865,0,0,0,0,0,0,0,
108,False,False,False,0,1.4259,19.5089,27.8186,0.6596,0.932,0,0,0,0,0,0,0,
109,False,False,False,0,1.4744,19.6097,28.9122,0.7747,0.9746,0,0,0,0,0,0,0,
110,False,False,False,0,1.2954,21.4755,27.8189,0.6837,0.9652,0,0,0,0,0,0,0,
111,False,False,False,0.0825,2.4217,19.2106,46.5233,0.0429,0.9908,0,0,0,0,0,0,0,
112,False,False,False,0,1.3001,19.1611,24.9116,0.7369,0.9854,0,0,0,0,0,0,0,
113,False,False,False,0,1.3241,19.3182,25.5784,0.7116,0.9604,0,0,0,0,0,0,0,
114,False,False,False,0,1.3072,18.0606,23.6081,0.7402,0.9383,0,0,0,0,0,0,0,
115,False,False,False,0,1.3272,17.9403,23.8105,0.7963,0.9848,0,0,0,0,0,0,0,
116,False,False,False,0,1.3014,17.9497,23.3601,0.7867,0.968,0,0,0,0,0,0,0,
117,False,False,False,0,1.3144,18.6687,24.5387,0.7576,0.9675,0,0,0,0,0,0,0,
118,False,False,False,0,1.3038,19.4229,25.3231,0.7799,0.9861,0,0,0,0,0,0,0,
119,False,False,False,0,1.3595,20.0198,27.2166,0.7342,0.9589,0,0,0,0,0,0,0,
120,False,False,False,0,1.2832,20.2969,26.0455,0.7579,0.9676,0,0,0,0,0,0,0,
121,False,False,False,0,1.3225,19.3145,25.5434,0.766,0.9823,0,0,0,0,0,0,0,
122,False,False,False,0,1.373,19.9402,27.3777,0.7483,0.9723,0,0,0,0,0,0,0,
123,False,False,False,0,1.5102,20.3753,30.7705,0.6738,0.9612,0,0,0,0,0,0,0,
124,False,False,False,0,1.29,20.4806,26.4195,0.7684,0.9793,0,0,0,0,0,0,0,
125,False,False,False,0,1.2591,20.6019,25.9395,0.7791,0.982,0,0,0,0,0,0,0,
126,False,False,False,0,1.278,20.3626,26.0228,0.7817,0.9534,0,0,0,0,0,0,0,
127,False,False,False,0,1.5408,19.2414,29.6466,0.7154,0.9747,0,0,0,0,0,0,0,
128,False,False,False,0,1.4541,20.8323,30.2928,0.6538,0.9326,0,0,0,0,0,0,0,
129,False,False,False,0,1.4436,19.9175,28.7521,0.7031,0.9705,0,0,0,0,0,0,0,
130,False,False,False,0,1.4165,20.0225,28.3627,0.7415,0.9592,0,0,0,0,0,0,0,
131,False,False,False,0,1.483,20.2686,30.0575,0.6728,0.9661,0,0,0,0,0,0,0,
132,False,False,False,0,1.5619,18.6753,29.1684,0.7138,0.946,0,0,0,0,0,0,0,
133,False,False,False,0,1.5231,19.8582,30.247,0.6939,0.9757,0,0,0,0,0,0,0,
134,False,False,False,0,1.3956,19.8371,27.6844,0.7344,0.9721,0,0,0,0,0,0,0,
135,False,False,False,0,1.4363,20.5036,29.4496,0.7537,0.9606,0,0,0,0,0,0,0,
136,False,False,False,0,1.4167,22.4176,31.7598,0.6753,0.9756,0,0,0,0,0,0,0,
137,False,False,False,0,1.302,22.4894,29.2808,0.8185,0.9664,0,0,0,0,0,0,0,
138,False,False,False,0,1.4226,22.3687,31.8225,0.6315,0.9306,0,0,0,0,0,0,0,
139,False,False,False,0,1.4231,20.5444,29.236,0.7673,0.9327,0,0,0,0,0,0,0,
140,False,False,False,0,1.3874,20.9455,29.0598,0.7254,0.9648,0,0,0,0,0,0,0,
141,False,False,False,0,1.695,20.7086,35.1012,0.3477,0.9252,0,0,0,0,0,0,0,
142,False,False,False,0,1.3611,20.3276,27.6673,0.8254,0.9534,0,0,0,0,0,0,0,
143,False,False,False,0,1.2806,20.5958,26.3749,0.7589,0.9734,0,0,0,0,0,0,0,
144,False,False,False,0,1.3563,19.9989,27.1254,0.6927,0.9616,0,0,0,0,0,0,0,
145,False,False,False,0,1.392,20.6505,28.7453,0.7666,0.9438,0,0,0,0,0,0,0,
146,False,False,False,0,1.2834,21.9609,28.1849,0.6286,0.8866,0,0,0,0,0,0,0,
147,False,False,False,0,1.3854,20.439,28.3164,0.6585,0.96,0,0,0,0,0,0,0,
148,False,False,False,0,1.367,21.1885,28.964,0.7598,0.9517,0,0,0,0,0,0,0,
149,False,False,False,0,1.4697,21.7742,32.0021,0.5838,0.9613,0,0,0,0,0,0,0,
150,False,False,False,0,1.4521,21.4682,31.1735,0.6329,0.9665,0,0,0,0,0,0,0,
151,False,False,False,0,1.4621,23.0475,33.6967,0.692,0.9665,0,0,0,0,0,0,0,
152,False,False,False,0,1.3834,23.6389,32.7025,0.6212,0.9852,0,0,0,0,0,0,0,
153,False,False,False,0,1.3435,22.3858,30.075,0.7479,0.9654,0,0,0,0,0,0,0,
154,False,False,False,0,1.4035,24.5868,34.5064,0.698,0.972,0,0,0,0,0,0,0,
155,False,False,False,0,1.72,26.0156,44.7457,0.3238,0.9306,0,0,0,0,0,0,0,
156,False,False,False,0,1.3356,25.0715,33.4856,0.6522,0.9608,0,0,0,0,0,0,0,
157,False,False,False,0,1.3913,24.9678,34.7375,0.632,0.8811,0,0,0,0,0,0,0,
158,False,False,False,0,1.3612,23.7011,32.2627,0.7072,0.9227,0,0,0,0,0,0,0,
159,False,False,False,0,1.3604,22.9975,31.2854,0.6918,0.9323,0,0,0,0,0,0,0,
160,False,False,False,0,1.3431,21.9372,29.4644,0.7161,0.9701,0,0,0,0,0,0,0,
161,False,False,False,0,1.4753,20.8115,30.7041,0.6097,0.9695,0,0,0,0,0,0,0,
162,False,False,False,0,1.4002,19.6131,27.4625,0.6789,0.9439,0,0,0,0,0,0,0,
163,False,False,False,0,1.6407,18.8127,30.8664,0.13,0.9604,0,0,0,0,0,0,0,
164,False,False,False,0,1.4336,22.07,31.6387,0.6803,0.9637,0,0,0,0,0,0,0,
165,False,False,False,0,1.4238,21.0998,30.042,0.6093,0.9519,0,0,0,0,0,0,0,
166,False,False,False,0,1.3953,20.8971,29.1578,0.6552,0.9564,0,0,0,0,0,0,0,
167,False,False,False,0,1.4112,19.966,28.1756,0.5956,0.9355,0,0,0,0,0,0,0,
168,False,False,False,0,1.7153,21.2943,36.5255,0.513,0.9604,0,0,0,0,0,0,0,
169,False,False,False,0,1.3858,22.8507,31.6669,0.6673,0.9839,0,0,0,0,0,0,0,
170,False,False,False,0,1.441,23.1832,33.4064,0.6095,0.9801,0,0,0,0,0,0,0,
171,False,False,False,0,1.784,22.3485,39.8702,0.2703,0.9891,0,0,0,0,0,0,0,
172,False,False,False,0,1.4027,24.5012,34.3675,0.6403,0.9617,0,0,0,0,0,0,0,
173,False,False,False,0,1.3634,25.4102,34.6449,0.6423,0.9863,0,0,0,0,0,0,0,
174,False,False,False,0,1.3077,23.7488,31.057,0.738,0.9616,0,0,0,0,0,0,0,
175,False,False,False,0,1.3834,24.1713,33.4378,0.6542,0.9566,0,0,0,0,0,0,0,
176,False,False,False,0,1.3079,22.4743,29.394,0.6891,0.9563,0,0,0,0,0,0,0,
