fov_id,present,present_folded,diffuse_halo_flag,confidence,contrast_ratio,baseline,peak,area_fraction,solidity,anisotropy,radial_rho,r2_over_r1,diffuse_radius,diffuse_circularity,diffuse_centroid_x,diffuse_centroid_y,error
1,False,False,False,0,1.2295,14.2359,17.5032,0.7759,0.9626,0,0,0,0,0,0,0,
2,False,False,False,0,1.2711,13.7119,17.4292,0.6856,0.9422,0,0,0,0,0,0,0,
3,False,False,False,0,1.3792,12.8663,17.7453,0.7185,0.9757,0,0,0,0,0,0,0,
4,False,False,False,0,1.6678,13.1164,21.8753,0.2256,0.6876,0,0,0,0,0,0,0,
5,False,False,False,0,1.243,12.9864,16.1421,0.7301,0.9564,0,0,0,0,0,0,0,
6,False,False,False,0,1.2629,12.6661,15.996,0.7341,0.9349,0,0,0,0,0,0,0,
7,False,False,False,0,1.2396,12.3624,15.3246,0.7445,0.9557,0,0,0,0,0,0,0,
8,False,False,False,0,1.404,12.1262,17.0257,0.5985,0.8688,0,0,0,0,0,0,0,
9,False,False,False,0,1.3549,12.0045,16.2646,0.7507,0.9217,0,0,0,0,0,0,0,
10,False,False,False,0,1.3794,12.2698,16.9244,0.6667,0.9539,0,0,0,0,0,0,0,
11,False,False,False,0,1.3028,12.2888,16.0093,0.7511,0.8436,0,0,0,0,0,0,0,
12,False,False,False,0,1.5421,12.0991,18.6579,0.077,0.9911,0,0,0,0,0,0,0,
13,False,False,False,0,1.3254,11.4592,15.1882,0.6426,0.8676,0,0,0,0,0,0,0,
14,False,False,False,0,1.3525,11.1393,15.0659,0.7952,0.9692,0,0,0,0,0,0,0,
15,False,False,False,0,1.3726,10.7587,14.7676,0.431,0.9477,0,0,0,0,0,0,0,
16,False,False,False,0,1.4605,10.5622,15.4264,0.6811,0.8856,0,0,0,0,0,0,0,
17,False,False,False,0,1.5233,11.3438,17.2797,0.2763,0.9876,0,0,0,0,0,0,0,
18,False,False,False,0,1.5307,10.9675,16.7881,0.6208,0.9558,0,0,0,0,0,0,0,
19,False,False,False,0,1.3972,13.8307,19.3247,0.4824,0.8279,0,0,0,0,0,0,0,
20,False,False,False,0,1.301,13.4411,17.4865,0.6762,0.9437,0,0,0,0,0,0,0,
21,False,False,False,0,1.4355,13.054,18.7393,0.6995,0.8995,0,0,0,0,0,0,0,
22,False,False,False,0,1.4697,13.1553,19.3346,0.6838,0.9416,0,0,0,0,0,0,0,
23,False,False,False,0,1.419,12.9515,18.3787,0.6515,0.8776,0,0,0,0,0,0,0,
24,False,False,False,0,1.5789,12.0013,18.9489,0.6902,0.9181,0,0,0,0,0,0,0,
25,False,False,False,0,1.5499,12.9472,20.0667,0.5227,0.9298,0,0,0,0,0,0,0,
26,False,False,False,0,1.286,13.3721,17.1962,0.655,0.8482,0,0,0,0,0,0,0,
27,False,False,False,0,1.4361,12.7711,18.34,0.7111,0.9033,0,0,0,0,0,0,0,
28,False,False,False,0,1.4355,12.988,18.6437,0.7262,0.9384,0,0,0,0,0,0,0,
29,False,False,False,0,1.5166,13.5988,20.6237,0.5465,0.8557,0,0,0,0,0,0,0,
30,False,False,False,0,1.5737,13.0918,20.6026,0.6459,0.9204,0,0,0,0,0,0,0,
31,False,False,False,0,1.7336,11.8724,20.5816,0.4763,0.8715,0,0,0,0,0,0,0,
32,False,False,False,0,1.8116,11.6168,21.0447,0.2981,0.8871,0,0,0,0,0,0,0,
33,False,False,False,0,1.955,11.0971,21.6949,0.5653,0.9685,0,0,0,0,0,0,0,
34,False,False,False,0,1.8475,11.9275,22.036,0.6902,0.9284,0,0,0,0,0,0,0,
35,False,False,False,0,1.926,12.0624,23.2327,0.7345,0.9552,0,0,0,0,0,0,0,
36,False,False,False,0,1.6302,14.4076,23.4874,0.7713,0.9548,0,0,0,0,0,0,0,
37,False,False,False,0,2.0137,14.9392,30.083,0.3902,0.9229,0,0,0,0,0,0,0,
38,False,False,False,0,1.884,14.3835,27.0991,0.523,0.9148,0,0,0,0,0,0,0,
39,False,False,False,0,1.8894,15.1223,28.5718,0.6044,0.9536,0,0,0,0,0,0,0,
40,False,False,False,0,1.9185,15.9792,30.6557,0.4812,0.9204,0,0,0,0,0,0,0,
41,False,False,False,0,2.0223,15.7928,31.9384,0.4875,0.968,0,0,0,0,0,0,0,
42,False,False,False,0,1.9258,17.0292,32.7944,0.4839,0.9679,0,0,0,0,0,0,0,
43,False,False,False,0,1.9544,16.4247,32.1012,0.4809,0.9491,0,0,0,0,0,0,0,
44,False,False,False,0,2.0003,15.7923,31.5891,0.4881,0.7946,0,0,0,0,0,0,0,
45,False,False,False,0,1.8918,16.9536,32.0726,0.3789,0.9581,0,0,0,0,0,0,0,
46,False,False,False,0,1.8825,16.2554,30.6004,0.406,0.9747,0,0,0,0,0,0,0,
47,False,False,False,0,2.0302,15.9952,32.4729,0.627,0.9547,0,0,0,0,0,0,0,
48,False,False,False,0.0291,2.2136,15.8809,35.1545,0.6448,0.9808,0,0,0,0,0,0,0,
49,False,False,False,0.1224,2.5772,15.6579,40.3535,0.579,0.8964,0,0,0,0,0,0,0,
50,False,False,False,0,1.8043,20.4715,36.9358,0.6787,0.9894,0,0,0,0,0,0,0,
51,False,False,False,0.0763,2.3974,16.2146,38.8732,0.6413,0.9847,0,0,0,0,0,0,0,
52,False,False,False,0.0717,2.3795,16.396,39.0151,0.6531,0.9833,0,0,0,0,0,0,0,
53,False,False,False,0.0851,2.4321,17.354,42.2062,0.6103,0.9937,0,0,0,0,0,0,0,
54,False,False,False,0.1175,2.5581,16.1584,41.3341,0.5985,0.9885,0,0,0,0,0,0,0,
55,False,False,False,0,2.0322,14.0187,28.489,0.3579,0.9029,0,0,0,0,0,0,0,
56,False,False,False,0,1.5373,16.3191,25.0873,0.2994,0.8713,0,0,0,0,0,0,0,
57,False,False,False,0,1.5985,16.0708,25.6893,0.4465,0.9081,0,0,0,0,0,0,0,
58,False,False,False,0,1.6001,15.7436,25.1915,0.5487,0.7606,0,0,0,0,0,0,0,
59,False,False,False,0,1.6197,15.3695,24.8936,0.5631,0.8278,0,0,0,0,0,0,0,
60,False,False,False,0,1.4429,16.9402,24.4428,0.5527,0.9537,0,0,0,0,0,0,0,
61,False,False,False,0,1.384,16.7817,23.2264,0.5762,0.8823,0,0,0,0,0,0,0,
62,False,False,False,0,1.4568,15.2419,22.2037,0.4106,0.6643,0,0,0,0,0,0,0,
63,False,False,False,0,1.6081,18.7335,30.1246,0.6938,0.9037,0,0,0,0,0,0,0,
64,False,False,False,0,1.7123,17.8934,30.6384,0.6499,0.9441,0,0,0,0,0,0,0,
65,False,False,False,0,1.6421,17.6474,28.9784,0.5778,0.7261,0,0,0,0,0,0,0,
66,False,False,False,0,1.8096,16.3627,29.6092,0.2434,0.7235,0,0,0,0,0,0,0,
67,False,False,False,0,1.9008,15.765,29.9663,0.5836,0.9813,0,0,0,0,0,0,0,
68,False,False,False,0.1291,2.6035,15.3188,39.8826,0.3425,0.8703,0,0,0,0,0,0,0,
69,False,False,False,0.061,2.338,18.396,43.0106,0.7299,0.9649,0,0,0,0,0,0,0,
70,False,False,False,0,1.4244,29.561,42.1075,0.679,0.9436,0,0,0,0,0,0,0,
71,False,False,False,0,1.5915,27.0733,43.0874,0.6228,0.8965,0,0,0,0,0,0,0,
72,False,False,False,0,1.7253,26.0664,44.973,0.7049,0.9018,0,0,0,0,0,0,0,
73,False,False,False,0,1.3624,15.1885,20.6922,0.482,0.7889,0,0,0,0,0,0,0,
74,False,False,False,0,1.3872,14.8196,20.5579,0.6788,0.9439,0,0,0,0,0,0,0,
75,False,False,False,0,1.5152,15.1542,22.9622,0.5988,0.9178,0,0,0,0,0,0,0,
76,False,False,False,0,1.4038,15.3132,21.4967,0.6777,0.8889,0,0,0,0,0,0,0,
77,False,False,False,0,1.5866,14.5958,23.1581,0.6167,0.9236,0,0,0,0,0,0,0,
78,False,False,False,0,1.5323,15.4535,23.6796,0.3744,0.8381,0,0,0,0,0,0,0,
79,False,False,False,0,1.8155,15.1419,27.4902,0.2345,0.931,0,0,0,0,0,0,0,
80,False,False,False,0,1.4649,14.5335,21.2897,0.5889,0.89,0,0,0,0,0,0,0,
81,False,False,False,0,1.5212,14.9487,22.7395,0.4818,0.8199,0,0,0,0,0,0,0,
82,False,False,False,0,1.6898,15.042,25.4172,0.4153,0.9599,0,0,0,0,0,0,0,
83,False,False,False,0,1.5946,14.7144,23.4642,0.5329,0.8842,0,0,0,0,0,0,0,
84,False,False,False,0,1.7762,14.7753,26.2439,0.2884,0.8558,0,0,0,0,0,0,0,
85,True,True,False,0.4722,3.9416,16.3734,64.5368,0.0282,0.9896,0.09,0,0.3717,21.09,0.6244,0.1051,0.9691,
86,False,False,False,0,1.4926,14.5156,21.6653,0.6487,0.9677,0,0,0,0,0,0,0,
87,False,False,False,0,1.6998,15.2379,25.9014,0.3593,0.9186,0,0,0,0,0,0,0,
88,False,False,False,0.072,2.3807,15.7756,37.5577,0.5545,0.8887,0,0,0,0,0,0,0,
89,False,False,False,0.0863,2.4365,23.3524,56.8976,0.17,0.8994,0,0,0,0,0,0,0,
90,False,False,False,0,1.8184,21.4499,39.0048,0.4684,0.882,0,0,0,0,0,0,0,
91,False,False,False,0,1.238,14.8423,18.3742,0.7923,0.9452,0,0,0,0,0,0,0,
92,False,False,False,0,1.3014,14.6602,19.0783,0.7427,0.9736,0,0,0,0,0,0,0,
93,False,False,False,0,1.323,15.2878,20.2263,0.793,0.9552,0,0,0,0,0,0,0,
94,False,False,False,0,1.3153,16.0005,21.0458,0.7399,0.9626,0,0,0,0,0,0,0,
95,False,False,False,0,1.3948,16.2623,22.6824,0.6636,0.9221,0,0,0,0,0,0,0,
96,False,False,False,0,1.5843,16.122,25.5428,0.4095,0.7174,0,0,0,0,0,0,0,
97,False,False,False,0,1.3058,16.2196,21.1792,0.5421,0.8349,0,0,0,0,0,0,0,
98,False,False,False,0,1.7327,14.6846,25.4447,0.2256,0.9069,0,0,0,0,0,0,0,
99,False,False,False,0,1.4075,14.3522,20.2003,0.7337,0.9336,0,0,0,0,0,0,0,
100,False,False,False,0,1.5997,15.1373,24.2159,0.4392,0.8849,0,0,0,0,0,0,0,
101,False,False,False,0,1.5777,14.5415,22.9422,0.6565,0.9537,0,0,0,0,0,0,0,
102,True,True,False,0.699,4.8263,15.5015,74.8146,0.0546,0.9919,0.1425,0,1.1567,32.46,0.8958,0.7793,0.3592,
103,True,True,False,1,8.1209,17.5764,142.737,0.0347,0.9908,0.1606,0,1.4183,42.77,0.7901,0.111,0.0789,
104,False,False,False,0,1.7052,14.6391,24.9628,0.648,0.9681,0,0,0,0,0,0,0,
105,False,False,False,0,1.454,16.0682,23.3626,0.5574,0.8315,0,0,0,0,0,0,0,
106,False,False,False,0,1.9694,15.8548,31.2245,0.2439,0.7098,0,0,0,0,0,0,0,
107,False,False,False,0.0038,2.1149,18.8869,39.9441,0.4383,0.9581,0,0,0,0,0,0,0,
108,False,False,False,0,1.9669,21.8782,43.0314,0.5643,0.8291,0,0,0,0,0,0,0,
109,False,False,False,0,1.2706,14.9089,18.9439,0.6889,0.9713,0,0,0,0,0,0,0,
110,False,False,False,0,1.3159,14.8476,19.5386,0.7382,0.9313,0,0,0,0,0,0,0,
111,False,False,False,0,1.3023,15.3028,19.9283,0.7752,0.9478,0,0,0,0,0,0,0,
112,False,False,False,0,1.33,15.7954,21.0071,0.7465,0.9617,0,0,0,0,0,0,0,
113,False,False,False,0,1.379,15.3442,21.1602,0.7628,0.9775,0,0,0,0,0,0,0,
114,False,False,False,0,1.5281,15.3892,23.5162,0.5978,0.9041,0,0,0,0,0,0,0,
115,False,False,False,0,1.4365,15.6809,22.5254,0.5383,0.8687,0,0,0,0,0,0,0,
116,False,False,False,0,1.5695,14.7663,23.1762,0.4973,0.8596,0,0,0,0,0,0,0,
117,False,False,False,0,1.4859,15.1365,22.4908,0.7648,0.952,0,0,0,0,0,0,0,
118,False,False,False,0,1.4018,16.2028,22.7138,0.7862,0.9702,0,0,0,0,0,0,0,
119,False,False,False,0,1.4076,17.1595,24.154,0.6324,0.9498,0,0,0,0,0,0,0,
120,False,False,False,0,1.2964,16.4189,21.2851,0.7478,0.9631,0,0,0,0,0,0,0,
121,False,False,False,0,1.3142,16.7614,22.0281,0.7176,0.9356,0,0,0,0,0,0,0,
122,False,False,False,0,1.4882,15.5448,23.1334,0.7038,0.9198,0,0,0,0,0,0,0,
123,False,False,False,0,1.263,16.6521,21.0315,0.7367,0.9301,0,0,0,0,0,0,0,
124,False,False,False,0,1.3168,15.9936,21.0603,0.7855,0.9548,0,0,0,0,0,0,0,
125,False,False,False,0,1.6072,16.3027,26.2022,0.6381,0.9649,0,0,0,0,0,0,0,
126,False,False,False,0.059,2.3303,18.3835,42.8388,0.4173,0.8792,0,0,0,0,0,0,0,
