fov_id,present,present_folded,diffuse_halo_flag,confidence,contrast_ratio,baseline,peak,area_fraction,solidity,anisotropy,radial_rho,r2_over_r1,diffuse_radius,diffuse_circularity,diffuse_centroid_x,diffuse_centroid_y,error
1,False,False,False,0,1.4315,24.4468,34.9949,0.6285,0.979,0,0,0,0,0,0,0,
2,False,False,False,0,1.3627,22.5343,30.7073,0.7123,0.9873,0,0,0,0,0,0,0,
3,False,False,False,0,1.5042,23.8173,35.8248,0.6987,0.9737,0,0,0,0,0,0,0,
4,False,False,False,0,1.4707,26.2345,38.5844,0.6923,0.969,0,0,0,0,0,0,0,
5,False,False,False,0,1.5631,29.7106,46.4419,0.6664,0.9867,0,0,0,0,0,0,0,
6,False,False,False,0,1.5457,31.3754,48.4964,0.6682,0.9723,0,0,0,0,0,0,0,
7,False,False,False,0,1.552,31.4079,48.7448,0.6964,0.9758,0,0,0,0,0,0,0,
8,False,False,False,0,1.5621,31.518,49.2335,0.6815,0.9858,0,0,0,0,0,0,0,
9,False,True,True,0.0735,2.3865,34.5122,82.3637,0.4611,0.9936,0,0,0,75.53,0.8757,0.4588,0.3223,
10,False,False,False,0,1.6112,31.1724,50.2243,0.6957,0.9758,0,0,0,0,0,0,0,
11,False,False,False,0,1.4889,33.1913,49.4196,0.6179,0.9756,0,0,0,0,0,0,0,
12,False,False,False,0,1.588,32.3831,51.423,0.6702,0.9882,0,0,0,0,0,0,0,
13,False,False,False,0,1.5459,33.1741,51.2834,0.6922,0.9471,0,0,0,0,0,0,0,
14,False,False,False,0,1.4919,35.0516,52.2923,0.6371,0.9733,0,0,0,0,0,0,0,
15,False,False,False,0,1.4958,33.0635,49.4557,0.7369,0.9733,0,0,0,0,0,0,0,
16,False,False,False,0,1.4532,35.3798,51.4149,0.6335,0.9739,0,0,0,0,0,0,0,
17,False,False,False,0,1.4488,39.458,57.1673,0.686,0.9649,0,0,0,0,0,0,0,
18,False,False,False,0,1.6927,34.9421,59.1463,0.744,0.9894,0,0,0,0,0,0,0,
19,False,False,False,0,1.3406,23.8436,31.9644,0.6391,0.85,0,0,0,0,0,0,0,
20,False,False,False,0,1.6948,22.7956,38.6334,0.23,0.9503,0,0,0,0,0,0,0,
21,False,False,False,0,1.4577,23.4168,34.1342,0.6893,0.9172,0,0,0,0,0,0,0,
22,False,True,True,0.184,2.8175,29.1085,82.0134,0.3986,0.9925,0,0,0,93.58,0.858,0.3804,0.7912,
23,False,False,False,0,1.5254,30.3883,46.3546,0.7239,0.983,0,0,0,0,0,0,0,
24,False,False,False,0,1.5656,30.4008,47.5964,0.7447,0.9808,0,0,0,0,0,0,0,
25,False,False,False,0,1.615,29.981,48.4186,0.7297,0.9813,0,0,0,0,0,0,0,
26,False,False,False,0,1.5749,30.5872,48.1703,0.7106,0.9861,0,0,0,0,0,0,0,
27,False,False,False,0,1.6291,30.0398,48.9383,0.7331,0.9789,0,0,0,0,0,0,0,
28,False,False,False,0,1.6894,29.1323,49.2166,0.7017,0.9792,0,0,0,0,0,0,0,
29,False,False,False,0,1.5993,29.6077,47.3525,0.7341,0.9814,0,0,0,0,0,0,0,
30,False,False,False,0,1.6305,30.0318,48.9658,0.6647,0.9783,0,0,0,0,0,0,0,
31,False,False,False,0,1.6524,30.9262,51.1022,0.6784,0.9801,0,0,0,0,0,0,0,
32,False,False,False,0,1.5879,32.409,51.4613,0.6967,0.9706,0,0,0,0,0,0,0,
33,False,False,False,0,1.663,30.3976,50.5526,0.6022,0.9844,0,0,0,0,0,0,0,
34,False,False,False,0,1.5436,31.8042,49.0938,0.6232,0.9771,0,0,0,0,0,0,0,
35,False,False,False,0,1.6193,36.8883,59.7348,0.642,0.9672,0,0,0,0,0,0,0,
36,False,False,False,0,1.7793,34.0105,60.5144,0.703,0.975,0,0,0,0,0,0,0,
37,False,False,False,0,1.4675,25.2912,37.115,0.652,0.9339,0,0,0,0,0,0,0,
38,False,False,False,0,1.3633,23.0575,31.4332,0.6123,0.9148,0,0,0,0,0,0,0,
39,False,False,False,0,1.6307,22.7809,37.1486,0.7018,0.968,0,0,0,0,0,0,0,
40,False,False,False,0,1.931,30.838,59.5471,0.5283,0.9428,0,0,0,0,0,0,0,
41,False,False,False,0,1.6075,31.9664,51.3864,0.6843,0.974,0,0,0,0,0,0,0,
42,False,False,False,0,1.6066,31.2015,50.1277,0.7146,0.9655,0,0,0,0,0,0,0,
43,False,False,False,0,1.6007,31.3613,50.1987,0.6995,0.9823,0,0,0,0,0,0,0,
44,False,False,False,0,1.6289,32.222,52.4878,0.6818,0.9801,0,0,0,0,0,0,0,
45,False,False,False,0,1.6239,31.9391,51.8658,0.7185,0.9736,0,0,0,0,0,0,0,
46,False,False,False,0,1.5951,31.9554,50.9709,0.7204,0.9743,0,0,0,0,0,0,0,
47,False,False,False,0,1.6453,32.5349,53.529,0.6982,0.9881,0,0,0,0,0,0,0,
48,False,False,False,0,1.6471,32.3353,53.2603,0.7134,0.9829,0,0,0,0,0,0,0,
49,False,False,False,0,1.6793,33.5744,56.3818,0.6366,0.9916,0,0,0,0,0,0,0,
50,False,False,False,0,1.643,34.491,56.6678,0.6815,0.9787,0,0,0,0,0,0,0,
51,False,False,False,0,1.5914,31.5658,50.2337,0.6765,0.98,0,0,0,0,0,0,0,
52,False,False,False,0,1.5861,33.1437,52.5684,0.6314,0.9889,0,0,0,0,0,0,0,
53,False,False,False,0,1.6951,39.2077,66.4594,0.6616,0.9844,0,0,0,0,0,0,0,
54,False,False,False,0,1.8324,35.4777,65.0103,0.7411,0.9864,0,0,0,0,0,0,0,
55,False,False,False,0,1.4459,26.493,38.3068,0.6707,0.9037,0,0,0,0,0,0,0,
56,False,False,False,0,1.4378,22.0579,31.7152,0.525,0.8819,0,0,0,0,0,0,0,
57,False,False,False,0,1.7926,21.9396,39.3294,0.6626,0.9664,0,0,0,0,0,0,0,
58,False,False,False,0,1.6812,31.1078,52.2991,0.6036,0.9863,0,0,0,0,0,0,0,
59,False,False,False,0,1.7548,32.571,57.1555,0.6342,0.975,0,0,0,0,0,0,0,
60,False,False,False,0,1.7527,32.0947,56.252,0.6724,0.9797,0,0,0,0,0,0,0,
61,False,False,False,0,1.694,32.5388,55.1197,0.6967,0.9887,0,0,0,0,0,0,0,
62,False,False,False,0,1.6753,34.1269,57.1734,0.6926,0.9804,0,0,0,0,0,0,0,
63,False,False,False,0,1.6947,34.7035,58.8134,0.6841,0.9758,0,0,0,0,0,0,0,
64,False,False,False,0,1.7121,34.3315,58.7798,0.7132,0.9837,0,0,0,0,0,0,0,
65,False,False,False,0,1.7211,34.5703,59.4976,0.6984,0.9799,0,0,0,0,0,0,0,
66,False,False,False,0,1.6838,35.6257,59.9868,0.6871,0.9811,0,0,0,0,0,0,0,
67,False,False,False,0,1.6115,37.2687,60.06,0.6854,0.9742,0,0,0,0,0,0,0,
68,False,False,False,0,1.633,37.649,61.4798,0.7085,0.9791,0,0,0,0,0,0,0,
69,False,False,False,0,1.5851,34.1803,54.1778,0.7149,0.9773,0,0,0,0,0,0,0,
70,False,False,False,0,1.6068,36.252,58.2511,0.6597,0.9437,0,0,0,0,0,0,0,
71,False,False,False,0,1.5374,41.9021,64.4217,0.7082,0.9576,0,0,0,0,0,0,0,
72,False,False,False,0,1.7501,37.4317,65.5081,0.7721,0.9876,0,0,0,0,0,0,0,
73,False,False,False,0,1.5108,25.7706,38.9341,0.6185,0.9669,0,0,0,0,0,0,0,
74,False,False,False,0,1.3835,22.2822,30.8275,0.5763,0.9079,0,0,0,0,0,0,0,
75,False,False,False,0,1.6731,23.4259,39.195,0.6708,0.9681,0,0,0,0,0,0,0,
76,False,False,False,0,1.6455,30.019,49.395,0.6562,0.9859,0,0,0,0,0,0,0,
77,False,False,False,0,1.7467,32.1405,56.1386,0.6872,0.9584,0,0,0,0,0,0,0,
78,False,False,False,0,1.7619,31.2398,55.0417,0.7033,0.9866,0,0,0,0,0,0,0,
79,False,False,False,0,1.7501,31.4494,55.0399,0.6718,0.9825,0,0,0,0,0,0,0,
80,False,False,False,0,1.7795,32.5465,57.9178,0.6392,0.9845,0,0,0,0,0,0,0,
81,False,False,False,0,1.7702,32.3496,57.2643,0.6802,0.9692,0,0,0,0,0,0,0,
82,False,False,False,0,1.8049,32.4622,58.5896,0.6857,0.9847,0,0,0,0,0,0,0,
83,False,False,False,0,1.8363,31.9222,58.62,0.698,0.9885,0,0,0,0,0,0,0,
84,False,False,False,0,1.7272,32.9395,56.8916,0.6686,0.957,0,0,0,0,0,0,0,
85,False,False,False,0,1.8843,31.5761,59.5002,0.6464,0.9887,0,0,0,0,0,0,0,
86,False,False,False,0,1.9243,30.721,59.1162,0.627,0.9856,0,0,0,0,0,0,0,
87,False,False,False,0,1.6738,28.1209,47.0701,0.6584,0.951,0,0,0,0,0,0,0,
88,False,False,False,0,1.843,28.6326,52.7711,0.7192,0.9651,0,0,0,0,0,0,0,
89,False,False,False,0,1.9945,33.202,66.2199,0.7064,0.9763,0,0,0,0,0,0,0,
90,False,False,False,0.0076,2.1297,30.7462,65.4814,0.6291,0.9929,0,0,0,0,0,0,0,
91,False,False,False,0,1.4631,24.3619,35.6427,0.6564,0.9523,0,0,0,0,0,0,0,
92,False,False,False,0,1.3715,21.9444,30.0962,0.7791,0.9534,0,0,0,0,0,0,0,
93,False,False,False,0,1.5686,24.9883,39.1967,0.6518,0.9791,0,0,0,0,0,0,0,
94,False,False,False,0,1.6083,30.304,48.7385,0.6246,0.987,0,0,0,0,0,0,0,
95,False,False,False,0,1.6897,32.4601,54.8493,0.71,0.9858,0,0,0,0,0,0,0,
96,False,False,False,0,1.665,30.9266,51.4931,0.7015,0.9882,0,0,0,0,0,0,0,
97,False,False,False,0,1.6946,30.3456,51.4235,0.7152,0.9928,0,0,0,0,0,0,0,
98,False,False,False,0,1.6698,30.97,51.7129,0.7078,0.9888,0,0,0,0,0,0,0,
99,False,False,False,0,1.7418,30.3913,52.9354,0.6866,0.9895,0,0,0,0,0,0,0,
100,False,False,False,0,1.7627,32.6263,57.5088,0.6787,0.9932,0,0,0,0,0,0,0,
101,False,False,False,0,1.7341,26.9854,46.7963,0.7492,0.9742,0,0,0,0,0,0,0,
102,False,False,False,0,1.6116,27.0571,43.6056,0.6143,0.9759,0,0,0,0,0,0,0,
103,False,False,False,0,1.4728,27.2582,40.1462,0.7318,0.9851,0,0,0,0,0,0,0,
104,False,False,False,0,1.4733,27.5278,40.558,0.6685,0.9801,0,0,0,0,0,0,0,
105,False,False,False,0,1.3562,24.5761,33.33,0.5895,0.9055,0,0,0,0,0,0,0,
106,False,False,False,0,1.4622,23.9316,34.9919,0.6405,0.9615,0,0,0,0,0,0,0,
107,False,False,False,0,1.5026,27.1454,40.7881,0.6351,0.9849,0,0,0,0,0,0,0,
