fov_id,present,present_folded,diffuse_halo_flag,confidence,contrast_ratio,baseline,peak,area_fraction,solidity,anisotropy,radial_rho,r2_over_r1,diffuse_radius,diffuse_circularity,diffuse_centroid_x,diffuse_centroid_y,error
1,False,False,False,0,1.4183,15.8443,22.4725,0.6977,0.988,0,0,0,0,0,0,0,
2,False,False,False,0,1.3018,16.1821,21.0661,0.7877,0.9842,0,0,0,0,0,0,0,
3,False,False,False,0,1.3547,15.9592,21.62,0.7791,0.9783,0,0,0,0,0,0,0,
4,False,False,False,0,1.3875,15.9103,22.0761,0.7074,0.9755,0,0,0,0,0,0,0,
5,False,False,False,0,1.3035,16.2368,21.1654,0.7655,0.9857,0,0,0,0,0,0,0,
6,False,False,False,0,1.2593,15.4917,19.5081,0.7807,0.9792,0,0,0,0,0,0,0,
7,False,False,False,0,1.3529,14.8471,20.0869,0.7218,0.9867,0,0,0,0,0,0,0,
8,False,False,False,0,1.2982,15.2034,19.7369,0.7713,0.9884,0,0,0,0,0,0,0,
9,False,False,False,0,1.3131,15.3397,20.1423,0.7855,0.9684,0,0,0,0,0,0,0,
10,False,False,False,0,1.2891,15.175,19.5628,0.7856,0.961,0,0,0,0,0,0,0,
11,False,False,False,0,1.908,15.2597,29.1151,0.2141,0.8323,0,0,0,0,0,0,0,
12,False,False,False,0,1.5457,15.3785,23.7699,0.7369,0.9875,0,0,0,0,0,0,0,
13,False,False,False,0,1.3958,16.1014,22.4751,0.7772,0.974,0,0,0,0,0,0,0,
14,False,False,False,0,1.8881,12.5664,23.7266,0.7099,0.9619,0,0,0,0,0,0,0,
15,False,False,False,0,1.7734,12.902,22.8807,0.7065,0.9685,0,0,0,0,0,0,0,
16,False,False,False,0,2.0987,12.3,25.8139,0.7396,0.963,0,0,0,0,0,0,0,
17,False,False,False,0,1.5577,17.6744,27.5316,0.6968,0.9828,0,0,0,0,0,0,0,
18,False,False,False,0,1.3284,19.4194,25.7964,0.7614,0.9882,0,0,0,0,0,0,0,
19,False,False,False,0,1.3714,15.9106,21.8203,0.6932,0.976,0,0,0,0,0,0,0,
20,False,False,False,0,1.3488,15.9319,21.4884,0.7766,0.9813,0,0,0,0,0,0,0,
21,False,False,False,0,1.2856,15.9946,20.5623,0.7737,0.9726,0,0,0,0,0,0,0,
22,False,False,False,0,1.4419,15.9998,23.0708,0.6948,0.9667,0,0,0,0,0,0,0,
23,False,False,False,0,1.3119,16.6744,21.8755,0.7877,0.9774,0,0,0,0,0,0,0,
24,False,False,False,0,1.2933,15.8813,20.5388,0.701,0.9587,0,0,0,0,0,0,0,
25,False,False,False,0,1.3369,14.4632,19.3353,0.752,0.9814,0,0,0,0,0,0,0,
26,False,False,False,0,1.4105,14.5361,20.5033,0.7273,0.9735,0,0,0,0,0,0,0,
27,False,False,False,0,1.285,15.8713,20.3939,0.8017,0.9553,0,0,0,0,0,0,0,
28,False,False,False,0,1.2701,15.7093,19.9524,0.7784,0.9832,0,0,0,0,0,0,0,
29,False,False,False,0,1.4844,16.0326,23.7992,0.732,0.9853,0,0,0,0,0,0,0,
30,False,False,False,0,1.3688,17.9669,24.5925,0.7817,0.9874,0,0,0,0,0,0,0,
31,False,False,False,0,1.4149,18.515,26.1968,0.6701,0.9706,0,0,0,0,0,0,0,
32,False,False,False,0,1.3237,18.4661,24.443,0.7204,0.9718,0,0,0,0,0,0,0,
33,False,False,False,0,1.3833,18.7231,25.8999,0.6683,0.9657,0,0,0,0,0,0,0,
34,False,False,False,0,1.665,17.8924,29.7909,0.6248,0.9793,0,0,0,0,0,0,0,
35,False,False,False,0,1.581,19.3785,30.6371,0.653,0.9854,0,0,0,0,0,0,0,
36,False,False,False,0,1.4254,20.3723,29.0394,0.6752,0.9513,0,0,0,0,0,0,0,
37,False,False,False,0,1.4027,16.7647,23.5156,0.7069,0.9526,0,0,0,0,0,0,0,
38,False,False,False,0,1.314,16.694,21.9361,0.8174,0.9776,0,0,0,0,0,0,0,
39,False,False,False,0,1.3059,16.8772,22.0392,0.7677,0.9797,0,0,0,0,0,0,0,
40,False,False,False,0,1.2955,16.5196,21.4011,0.7547,0.9803,0,0,0,0,0,0,0,
41,False,False,False,0,1.3624,16.8783,22.9955,0.7359,0.9862,0,0,0,0,0,0,0,
42,False,False,False,0,1.2851,16.8617,21.6697,0.7237,0.9584,0,0,0,0,0,0,0,
43,False,False,False,0,1.2439,15.129,18.8193,0.7744,0.9811,0,0,0,0,0,0,0,
44,False,False,False,0,1.487,14.9413,22.2171,0.6726,0.9846,0,0,0,0,0,0,0,
45,False,False,False,0,1.4109,15.9141,22.4539,0.7348,0.9756,0,0,0,0,0,0,0,
46,False,False,False,0,1.3262,15.8167,20.9758,0.7893,0.937,0,0,0,0,0,0,0,
47,False,False,False,0,1.3907,16.4133,22.8266,0.7783,0.9891,0,0,0,0,0,0,0,
48,False,False,False,0,1.3468,18.103,24.3803,0.7734,0.9447,0,0,0,0,0,0,0,
49,False,False,False,0,1.2887,18.5955,23.9633,0.7279,0.9685,0,0,0,0,0,0,0,
50,False,False,False,0,1.3681,17.3995,23.8041,0.7399,0.9821,0,0,0,0,0,0,0,
51,False,False,False,0,1.4157,19.0968,27.0345,0.752,0.983,0,0,0,0,0,0,0,
52,False,False,False,0,1.2862,20.1983,25.9787,0.7835,0.9895,0,0,0,0,0,0,0,
53,False,False,False,0,1.2994,20.2691,26.3378,0.7598,0.981,0,0,0,0,0,0,0,
54,False,False,False,0,1.328,20.0918,26.6822,0.7487,0.9877,0,0,0,0,0,0,0,
55,False,False,False,0,1.5172,17.9251,27.1961,0.6745,0.9844,0,0,0,0,0,0,0,
56,False,False,False,0,1.2868,18.9765,24.4191,0.7681,0.9639,0,0,0,0,0,0,0,
57,False,False,False,0,1.3958,18.7328,26.1475,0.6293,0.9589,0,0,0,0,0,0,0,
58,False,False,False,0,1.3936,17.215,23.9911,0.7813,0.9628,0,0,0,0,0,0,0,
59,False,False,False,0,1.3534,17.284,23.3917,0.7742,0.978,0,0,0,0,0,0,0,
60,False,False,False,0,1.2403,16.6027,20.593,0.7771,0.9813,0,0,0,0,0,0,0,
61,False,False,False,0,1.3279,15.7507,20.9151,0.6182,0.9314,0,0,0,0,0,0,0,
62,False,False,False,0,1.4384,14.9835,21.5523,0.7033,0.977,0,0,0,0,0,0,0,
63,False,False,False,0,1.3188,15.6483,20.6374,0.7877,0.9928,0,0,0,0,0,0,0,
64,False,False,False,0,1.3862,15.963,22.1273,0.7283,0.9798,0,0,0,0,0,0,0,
65,False,False,False,0,1.4614,16.7742,24.513,0.72,0.9802,0,0,0,0,0,0,0,
66,True,True,False,1,8.3568,29.9815,250.55,0.6045,0.9889,0.4044,0.9753,0.3494,189.71,0.8184,0.4048,0.5698,
67,False,False,False,0,1.294,17.9997,23.292,0.7985,0.9826,0,0,0,0,0,0,0,
68,False,False,False,0,1.3933,17.2093,23.9777,0.6813,0.9564,0,0,0,0,0,0,0,
69,False,False,False,0,1.3819,19.4668,26.9011,0.7719,0.9851,0,0,0,0,0,0,0,
70,False,False,False,0,1.3798,21.2444,29.3135,0.6728,0.9052,0,0,0,0,0,0,0,
71,False,False,False,0,1.3164,20.0564,26.4028,0.7665,0.9852,0,0,0,0,0,0,0,
72,False,False,False,0,1.305,19.4677,25.4054,0.7909,0.9859,0,0,0,0,0,0,0,
73,False,False,False,0,1.3185,18.1,23.8648,0.7475,0.9866,0,0,0,0,0,0,0,
74,False,False,False,0,1.4152,18.8981,26.7454,0.7059,0.9707,0,0,0,0,0,0,0,
75,False,False,False,0,1.328,20.351,27.0264,0.7741,0.9628,0,0,0,0,0,0,0,
76,False,False,False,0,1.3981,19.1344,26.7512,0.7429,0.989,0,0,0,0,0,0,0,
77,False,False,False,0,1.3382,18.6115,24.9051,0.7294,0.9817,0,0,0,0,0,0,0,
78,False,False,False,0,1.6582,17.386,28.8297,0.0755,0.9673,0,0,0,0,0,0,0,
79,False,False,False,0,1.381,15.5452,21.468,0.6607,0.9686,0,0,0,0,0,0,0,
80,False,False,False,0,1.4201,15.2473,21.6529,0.7197,0.9643,0,0,0,0,0,0,0,
81,False,False,False,0,1.3506,16.1934,21.8711,0.7624,0.9871,0,0,0,0,0,0,0,
82,False,False,False,0,1.3364,16.4205,21.9447,0.7719,0.9816,0,0,0,0,0,0,0,
83,False,False,False,0,1.7719,16.9304,29.9991,0.2511,0.8487,0,0,0,0,0,0,0,
84,True,True,False,0.3732,3.5555,18.4518,65.6055,0.122,0.9949,0.174,0,0.4212,38.16,0.5208,0.4556,0.0434,
85,False,False,False,0,1.4783,17.8203,26.344,0.679,0.9477,0,0,0,0,0,0,0,
86,False,False,False,0,1.4328,17.4021,24.9328,0.7577,0.963,0,0,0,0,0,0,0,
87,False,False,False,0,1.3704,19.3256,26.4844,0.7748,0.9743,0,0,0,0,0,0,0,
88,False,False,False,0,1.3942,19.9343,27.792,0.7457,0.9937,0,0,0,0,0,0,0,
89,False,False,False,0,1.3149,20.3021,26.6954,0.7569,0.9688,0,0,0,0,0,0,0,
90,False,False,False,0,1.3386,19.4402,26.0236,0.7569,0.9657,0,0,0,0,0,0,0,
91,False,False,False,0,1.4997,17.3433,26.01,0.6749,0.9824,0,0,0,0,0,0,0,
92,False,False,False,0,1.5438,19.2911,29.7809,0.6937,0.971,0,0,0,0,0,0,0,
93,False,False,False,0,1.2769,20.3805,26.0237,0.8181,0.972,0,0,0,0,0,0,0,
94,False,False,False,0,1.3251,19.2702,25.5354,0.7774,0.9937,0,0,0,0,0,0,0,
95,False,False,False,0,1.3372,19.328,25.8455,0.7342,0.9815,0,0,0,0,0,0,0,
96,False,False,False,0,1.3079,18.5636,24.2791,0.7068,0.9671,0,0,0,0,0,0,0,
97,False,False,False,0,1.3783,16.525,22.7759,0.8069,0.9477,0,0,0,0,0,0,0,
98,False,False,False,0,1.3938,16.6648,23.2269,0.7594,0.9764,0,0,0,0,0,0,0,
99,False,False,False,0,1.3321,17.6725,23.5416,0.7563,0.9742,0,0,0,0,0,0,0,
100,False,False,False,0,1.2459,17.0066,21.1883,0.7545,0.9782,0,0,0,0,0,0,0,
101,False,False,False,0,1.3662,16.5376,22.5946,0.7597,0.9847,0,0,0,0,0,0,0,
102,False,False,False,0,1.3476,17.4083,23.46,0.764,0.9872,0,0,0,0,0,0,0,
103,False,False,False,0,1.2793,18.4374,23.5874,0.7676,0.9925,0,0,0,0,0,0,0,
104,False,False,False,0,1.3828,18.0285,24.9297,0.6663,0.968,0,0,0,0,0,0,0,
105,False,False,False,0,1.3961,19.4191,27.1118,0.7505,0.9905,0,0,0,0,0,0,0,
106,False,False,False,0,1.3334,19.9258,26.5695,0.7777,0.9946,0,0,0,0,0,0,0,
107,False,False,False,0.107,2.5175,20.1502,50.728,0.0276,0.9895,0,0,0,5.56,0.6864,0.9892,0.3773,
108,False,False,False,0,1.9334,20.2835,39.2157,0.021,0.9918,0,0,0,0,0,0,0,
109,False,False,False,0,1.5407,15.471,23.8361,0.7491,0.9848,0,0,0,0,0,0,0,
110,False,False,False,0,1.6606,21.021,34.9079,0.6951,0.9895,0,0,0,0,0,0,0,
111,False,False,False,0,1.41,24.069,33.9367,0.5405,0.973,0,0,0,0,0,0,0,
112,False,False,False,0,1.2831,20.2966,26.0431,0.7521,0.9834,0,0,0,0,0,0,0,
113,False,False,False,0,1.3114,19.0618,24.9968,0.7954,0.9879,0,0,0,0,0,0,0,
114,False,False,False,0,1.2282,19.0938,23.4518,0.8329,0.9522,0,0,0,0,0,0,0,
115,False,False,False,0,1.2844,17.6987,22.7327,0.7494,0.9815,0,0,0,0,0,0,0,
116,False,False,False,0,1.3318,18.4256,24.5383,0.749,0.994,0,0,0,0,0,0,0,
117,False,False,False,0,1.5701,18.4943,29.0377,0.6312,0.9471,0,0,0,0,0,0,0,
118,False,False,False,0,1.2692,17.6279,22.3734,0.7471,0.9716,0,0,0,0,0,0,0,
119,False,False,False,0,1.402,16.5071,23.1436,0.7524,0.986,0,0,0,0,0,0,0,
120,False,False,False,0,1.3527,17.0753,23.0971,0.7579,0.9886,0,0,0,0,0,0,0,
121,False,False,False,0,1.4099,17.9539,25.3125,0.75,0.9859,0,0,0,0,0,0,0,
122,False,False,False,0,1.4197,18.2841,25.9579,0.7314,0.9821,0,0,0,0,0,0,0,
123,False,False,False,0,1.4366,19.6216,28.1887,0.7647,0.9778,0,0,0,0,0,0,0,
124,False,False,False,0,1.5181,20.3296,30.8617,0.696,0.9807,0,0,0,0,0,0,0,
125,False,False,False,0,1.4012,21.3549,29.9217,0.6481,0.9847,0,0,0,0,0,0,0,
126,False,False,False,0,1.4672,19.8609,29.1392,0.711,0.9852,0,0,0,0,0,0,0,
127,False,False,False,0,1.5974,12.8306,20.4957,0.7334,0.9931,0,0,0,0,0,0,0,
128,False,False,False,0,1.5205,16.6877,25.3744,0.7269,0.9835,0,0,0,0,0,0,0,
129,False,False,False,0,1.2937,19.1047,24.7162,0.7202,0.9723,0,0,0,0,0,0,0,
130,False,False,False,0,1.3867,17.668,24.4995,0.74,0.9784,0,0,0,0,0,0,0,
131,False,False,False,0,1.3356,18.1971,24.3047,0.7535,0.9758,0,0,0,0,0,0,0,
132,False,False,False,0,1.2779,18.0617,23.0815,0.7708,0.9826,0,0,0,0,0,0,0,
133,False,False,False,0,1.3483,16.9364,22.8355,0.7388,0.9803,0,0,0,0,0,0,0,
